Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(degree)
0.0,toyota.prius,0.0,0.93117
0.1,toyota.prius,0.0,0.93117
0.2,toyota.prius,0.0,0.93117
0.3,toyota.prius,0.0,0.93117
0.41,toyota.prius,0.0,0.93117
0.51,toyota.prius,0.0,0.93117
0.61,toyota.prius,0.0,0.93117
0.71,toyota.prius,0.0,0.93117
0.81,toyota.prius,0.0,0.93117
0.91,toyota.prius,0.0,0.93117
1.01,toyota.prius,0.0,0.93117
1.12,toyota.prius,0.0,0.93117
1.22,toyota.prius,0.0,0.93117
1.32,toyota.prius,0.0,0.93117
1.42,toyota.prius,0.0,0.93117
1.52,toyota.prius,0.0,0.93117
1.62,toyota.prius,0.0,0.93117
1.72,toyota.prius,0.0,0.93117
1.83,toyota.prius,0.0,0.93117
1.93,toyota.prius,0.0,0.93117
2.03,toyota.prius,0.0,0.93117
2.13,toyota.prius,0.0,0.93117
2.23,toyota.prius,0.0,0.93117
2.33,toyota.prius,0.0,0.93117
2.43,toyota.prius,0.0,0.93117
2.53,toyota.prius,0.0,0.93117
2.64,toyota.prius,0.0,0.93117
2.74,toyota.prius,0.0,0.93117
2.84,toyota.prius,0.0,0.93117
2.94,toyota.prius,0.0,0.93117
3.04,toyota.prius,0.0,0.93117
3.14,toyota.prius,0.0,0.93077
3.24,toyota.prius,0.0,0.92976
3.35,toyota.prius,0.0,0.92892
3.45,toyota.prius,0.0,0.92852
3.55,toyota.prius,0.0,0.92852
3.65,toyota.prius,0.0,0.92833
3.75,toyota.prius,0.0,0.92833
3.85,toyota.prius,0.0,0.92833
3.95,toyota.prius,0.0,0.9283
4.06,toyota.prius,0.0,0.92821
4.16,toyota.prius,0.0,0.92833
4.26,toyota.prius,0.0,0.93513
4.36,toyota.prius,0.01,0.97702
4.46,toyota.prius,0.03,0.99685
4.56,toyota.prius,0.06,0.99233
4.66,toyota.prius,0.12,0.98001
4.76,toyota.prius,0.19,0.97176
4.87,toyota.prius,0.27,0.9666
4.97,toyota.prius,0.36,0.96428
5.07,toyota.prius,0.45,0.9553
5.17,toyota.prius,0.54,0.93175
5.27,toyota.prius,0.63,0.92826
5.37,toyota.prius,0.71,0.93723
5.47,toyota.prius,0.78,0.94232
5.58,toyota.prius,0.85,0.93766
5.68,toyota.prius,0.91,0.93123
5.78,toyota.prius,0.97,0.93231
5.88,toyota.prius,1.02,0.93852
5.98,toyota.prius,1.07,0.94124
6.08,toyota.prius,1.11,0.93446
6.18,toyota.prius,1.16,0.92535
6.28,toyota.prius,1.2,0.92591
6.39,toyota.prius,1.24,0.93411
6.49,toyota.prius,1.27,0.93856
6.59,toyota.prius,1.31,0.93382
6.69,toyota.prius,1.35,0.92243
6.79,toyota.prius,1.39,0.91742
6.89,toyota.prius,1.43,0.91252
6.99,toyota.prius,1.47,0.91123
7.09,toyota.prius,1.5,0.91345
7.2,toyota.prius,1.53,0.92071
7.3,toyota.prius,1.57,0.92397
7.4,toyota.prius,1.6,0.92074
7.5,toyota.prius,1.64,0.91581
7.6,toyota.prius,1.68,0.91239
7.7,toyota.prius,1.72,0.91437
7.8,toyota.prius,1.75,0.91907
7.91,toyota.prius,1.79,0.92126
8.01,toyota.prius,1.82,0.92004
8.11,toyota.prius,1.86,0.92175
8.21,toyota.prius,1.89,0.92701
8.31,toyota.prius,1.93,0.92893
8.41,toyota.prius,1.97,0.9223
8.51,toyota.prius,2.01,0.91907
8.62,toyota.prius,2.04,0.91923
8.72,toyota.prius,2.08,0.92386
8.82,toyota.prius,2.12,0.92476
8.92,toyota.prius,2.15,0.9193
9.02,toyota.prius,2.19,0.9154
9.12,toyota.prius,2.22,0.91562
9.22,toyota.prius,2.26,0.91684
9.33,toyota.prius,2.29,0.91612
9.43,toyota.prius,2.33,0.91553
9.53,toyota.prius,2.36,0.91777
9.63,toyota.prius,2.39,0.92032
9.73,toyota.prius,2.43,0.91833
9.83,toyota.prius,2.46,0.91298
9.93,toyota.prius,2.49,0.91146
10.03,toyota.prius,2.52,0.91501
10.14,toyota.prius,2.55,0.92209
10.24,toyota.prius,2.58,0.92321
10.34,toyota.prius,2.62,0.91804
10.44,toyota.prius,2.65,0.9141
10.54,toyota.prius,2.69,0.91462
10.64,toyota.prius,2.72,0.9143
10.74,toyota.prius,2.75,0.91533
10.85,toyota.prius,2.78,0.91668
10.95,toyota.prius,2.81,0.91295
11.05,toyota.prius,2.83,0.90807
11.15,toyota.prius,2.87,0.907
11.25,toyota.prius,2.89,0.91287
11.35,toyota.prius,2.92,0.92626
11.45,toyota.prius,2.94,0.93666
11.56,toyota.prius,2.97,0.94166
11.66,toyota.prius,2.99,0.93817
11.76,toyota.prius,3.02,0.93275
11.86,toyota.prius,3.04,0.93579
11.96,toyota.prius,3.06,0.94408
12.06,toyota.prius,3.09,0.94856
12.16,toyota.prius,3.1,0.94591
12.27,toyota.prius,3.12,0.93859
12.37,toyota.prius,3.14,0.92748
12.47,toyota.prius,3.17,0.91794
12.57,toyota.prius,3.19,0.91923
12.67,toyota.prius,3.21,0.92376
12.77,toyota.prius,3.23,0.9302
12.87,toyota.prius,3.24,0.93371
12.97,toyota.prius,3.27,0.92623
13.08,toyota.prius,3.28,0.92097
13.18,toyota.prius,3.3,0.92221
13.28,toyota.prius,3.31,0.92861
13.38,toyota.prius,3.33,0.93446
13.48,toyota.prius,3.33,0.93722
13.58,toyota.prius,3.35,0.93287
13.68,toyota.prius,3.37,0.93465
13.79,toyota.prius,3.37,0.94095
13.89,toyota.prius,3.39,0.94711
13.99,toyota.prius,3.4,0.94959
14.09,toyota.prius,3.41,0.94933
14.19,toyota.prius,3.42,0.9484
14.29,toyota.prius,3.43,0.94887
14.39,toyota.prius,3.44,0.95123
14.49,toyota.prius,3.46,0.95412
14.6,toyota.prius,3.46,0.9506
14.7,toyota.prius,3.47,0.94597
14.8,toyota.prius,3.47,0.94768
14.9,toyota.prius,3.48,0.95101
15.0,toyota.prius,3.48,0.95108
15.1,toyota.prius,3.49,0.95421
15.2,toyota.prius,3.49,0.95586
15.31,toyota.prius,3.51,0.95787
15.41,toyota.prius,3.51,0.96008
15.51,toyota.prius,3.53,0.96428
15.61,toyota.prius,3.53,0.96879
15.71,toyota.prius,3.53,0.98556
15.81,toyota.prius,3.54,1.01457
15.91,toyota.prius,3.54,0.84953
16.02,toyota.prius,3.54,0.42701
16.12,toyota.prius,3.54,0.01325
16.22,toyota.prius,3.54,-0.42038
16.32,toyota.prius,3.53,-0.77722
