TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712345260.0527,1.0,22.527,0.1,0.1,0.0
1712345260.1529,2.0,22.527,0.2,0.2,0.0
1712345260.253,3.0,22.527,0.3,0.3,0.0
1712345260.3532,4.0,22.527,0.4,0.4,0.0
1712345260.4533,5.0,22.527,0.5,0.5,0.0
1712345260.5534,6.0,22.527,0.6,0.6,0.0
1712345260.6943,7.0,22.527,0.7,0.7,0.0
1712345260.7539,8.0,22.527,0.8,0.8,0.0
1712345260.854,9.0,22.527,0.9,0.9,0.0
1712345260.9542,10.0,22.527,1.0,1.0,0.0
1712345261.0543,11.0,22.527,1.1,1.1,0.0
1712345261.1545,12.0,22.527,1.2,1.2,0.0
1712345261.2546,13.0,22.527,1.3,1.3,0.0
1712345261.3547,14.0,22.527,1.4,1.4,0.0
1712345261.4549,15.0,22.527,1.5,1.5,0.0
1712345261.555,16.0,22.527,1.6,1.6,0.0
1712345261.6551,17.0,22.527,1.7,1.7,0.0
1712345261.7553,18.0,22.527,1.8,1.8,0.0
1712345261.8554,19.0,22.527,1.9,1.9,0.0
1712345261.9556,20.0,24.507,2.0,2.0,0.0
1712345262.0557,21.0,24.412,1.4,2.1,0.7
1712345262.1558,22.0,24.312,1.49,2.2,0.71
1712345262.256,23.0,24.203,1.36,2.3,0.94
1712345262.3561,24.0,24.118,1.36,2.4,1.04
1712345262.4562,25.0,24.024,1.32,2.5,1.18
1712345262.5564,26.0,23.846,1.3,2.6,1.3
1712345262.6567,27.0,23.683,1.29,2.7,1.41
1712345262.7568,28.0,25.573,1.26,2.8,1.54
1712345262.8569,29.0,25.402,1.25,2.9,1.65
1712345262.9571,30.0,25.251,1.24,3.0,1.76
1712345263.0573,31.0,25.094,1.25,3.1,1.85
1712345263.1574,32.0,24.864,1.25,3.2,1.95
1712345263.2576,33.0,24.652,1.24,3.3,2.06
1712345263.3577,34.0,24.517,1.25,3.4,2.15
1712345263.4578,35.0,26.235,1.26,3.5,2.24
1712345263.5579,36.0,26.008,1.27,3.6,2.33
1712345263.658,37.0,25.781,1.29,3.7,2.41
1712345263.7581,38.0,25.563,1.3,3.8,2.5
1712345263.8582,39.0,25.313,1.32,3.9,2.58
1712345263.9584,40.0,28.096,1.34,4.0,2.66
1712345264.0584,41.0,27.821,1.35,4.1,2.75
1712345264.1585,42.0,27.554,1.39,4.2,2.81
1712345264.2587,43.0,27.275,1.42,4.3,2.88
1712345264.3589,44.0,26.994,1.45,4.4,2.95
1712345264.4591,45.0,26.697,1.48,4.5,3.02
1712345264.5593,46.0,26.434,1.4,4.5,3.1
1712345264.6595,47.0,28.09,1.34,4.5,3.16
1712345264.7596,48.0,27.788,1.25,4.5,3.25
1712345264.8597,49.0,27.485,1.18,4.5,3.32
1712345264.9598,50.0,27.165,1.08,4.5,3.42
1712345265.06,51.0,26.818,1.01,4.5,3.49
1712345265.1601,52.0,28.451,0.92,4.5,3.58
1712345265.2603,53.0,28.107,0.83,4.5,3.67
1712345265.3605,54.0,27.75,0.75,4.5,3.75
1712345265.4605,55.0,27.354,0.67,4.5,3.83
1712345265.5607,56.0,28.95,0.58,4.5,3.92
1712345265.6608,57.0,28.534,0.51,4.5,3.99
