timestamp, desired_lat, desired_lon, desired_speed, desired_heading, current_lat, current_lon, current_speed, current_heading, gps_distance, control, throttle, brake, steer
1763587651.2650604,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705838415,0.0,nan,85.92206200816118,0.0,0.0,0.0,0.3
1763587651.3519897,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705838415,0.0,nan,85.92206200816118,0.0,0.0,0.0,0.51
1763587651.456514,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705838415,0.0,nan,85.92206200816118,0.0,0.0,0.0,0.657
1763587651.5524437,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705838415,0.0,nan,85.92206200816118,0.0,0.0,0.0,0.7599
1763587651.6621904,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705838415,0.0,nan,85.92206200816118,0.0,0.0,0.0,0.8319300000000001
1763587651.7537453,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.70159746183083,-87.99180705838415,0.0,1.0017912643434101e-05,0.5059583523765587,0.0,0.0,0.0,0.5979708149818354
1763587651.8472445,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.70159746183083,-87.99180705838415,0.0,1.0017912643434101e-05,0.5059583523765587,0.0,0.0,0.0,0.43419938546912007
1763587651.9474666,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.70159746183083,-87.99180705838415,0.0,1.0017912643434101e-05,0.5059583523765587,0.0,0.0,0.0,0.3195593848102194
1763587652.052636,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705829235,0.002718192224091781,nan,85.92206181858757,0.0,0.0,0.0,0.5236915693671536
1763587652.1669726,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.70159746183083,-87.99180705829235,0.002718192224091781,nan,85.92206181858757,0.0,0.0,0.0,0.6665840985570075
1763587652.2488632,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705787921,0.006231454739002626,1.0017912643434101e-05,0.5059143307483757,0.0,0.0,0.0,0.48222868397174057
1763587652.3481753,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705787921,0.006231454739002626,1.0017912643434101e-05,0.5059143307483757,0.0,0.0,0.0,0.3531798937620537
1763587652.4484358,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705787921,0.006231454739002626,1.0017912643434101e-05,0.5059143307483757,0.0,0.0,0.0,0.26284574061527294
1763587652.5484796,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705787921,0.005642673743295184,1.0017912643434101e-05,0.5059143307483757,0.0,0.0,0.0,0.19961183341252642
1763587652.6485872,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705787921,0.005642673743295184,1.0017912643434101e-05,0.5059143307483757,0.0,0.0,0.0,0.15534809837060384
1763587652.748756,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705767264,0.0037574659333803164,1.0017912643434101e-05,0.5058971915697494,0.0,0.0,0.0,0.12436348384125805
1763587652.8555887,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705767264,0.0037574659333803164,1.0017912643434101e-05,0.5058971915697494,0.0,0.0,0.0,0.10267425367071599
1763587652.9681437,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.7015974623792,-87.99180705758084,0.001376631409108906,nan,85.92212130584163,0.0,0.0,0.0,0.3718719775695012
1763587653.055616,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.7015974623792,-87.99180705758084,0.001376631409108906,nan,85.92212130584163,0.0,0.0,0.0,0.5603103842986508
1763587653.1552796,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.7015974623792,-87.99180705758084,0.001376631409108906,nan,85.92212130584163,0.0,0.0,0.0,0.6922172690090556
1763587653.2503412,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705785626,0.001204496595767483,1.0017912643434101e-05,0.505912426512445,0.0,0.0,0.0,0.5001719032881742
1763587653.3501008,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705785626,0.001204496595767483,1.0017912643434101e-05,0.505912426512445,0.0,0.0,0.0,0.36574014728355725
1763587653.4559116,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.7015974623792,-87.99180705758084,0.0014912324727067612,nan,85.92212130584163,0.0,0.0,0.0,0.5560181030984901
1763587653.561725,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.7015974623792,-87.99180705758084,0.0014912324727067612,nan,85.92212130584163,0.0,0.0,0.0,0.6892126721689431
1763587653.6673896,41.7008249863636,-87.9917813124293,0.0,344.999985694838,41.7015974623792,-87.99180705758084,0.0014912324727067612,nan,85.92212130584163,0.0,0.0,0.0,0.7824488705182602
1763587653.7512245,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705742017,0.001302910867693748,1.0017912643434101e-05,0.5058762439202892,0.0,0.0,0.0,0.5633340243446174
1763587653.8507435,41.7015976208562,-87.9918009677236,0.0,2.6033125148852,41.7015974623792,-87.99180705742017,0.001302910867693748,1.0017912643434101e-05,0.5058762439202892,0.0,0.0,0.0,0.4099536320230675
