timestamp, desired_lat, desired_lon, desired_heading, current_lat, current_lon, current_speed, current_heading, travel_distance, calculated_distance, calculated_distance_next, starting_index, selected_index
1745894769.8179147,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8189094,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8317962,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8330328,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8341734,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8352828,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.836372,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8374674,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.8625906,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894769.96277,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.062788,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.163142,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0045482612031,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.2632637,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.363505,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742283093,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.4638925,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742175219,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.564138,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742175219,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.6642551,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046646816,-87.99181742175219,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.764411,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046756492,-87.9918174212243,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.864594,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046756492,-87.9918174212243,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894770.9648657,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742088001,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.064905,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742088001,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.1649628,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742088001,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.265343,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742088001,0.0,345.00468486498653,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.3654463,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742088001,0.0,345.00468486498653,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.4657102,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742076526,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.5657694,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742076526,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.6659107,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742076526,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.766256,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742028327,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.8663175,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742028327,0.0,345.0046575442298,0.0,14.291645912136445,14.752864735183374,149,149
1745894771.966721,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742044394,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
1745894772.066898,41.7009509863219,-87.9918152849739,352.787139009082,41.70095046866163,-87.99181742044394,0.0,345.00463022347316,0.0,14.291645912136445,14.752864735183374,149,149
