timestamp_verbose,timeStep,msgCount,temporaryId,secMark,latitude,longitude,elevation,speed,heading
1758135667.1612923,0.09999990463256836,1,265012,100,41.704084792555,-87.9918838835387,227.995681762695,2.87,359.35
1758135667.6136155,0.4522593021392822,2,265012,100,41.7040956606974,-87.9918841633686,227.992767333984,2.67,359.35
1758135667.616042,0.002320528030395508,3,265012,100,41.7040956606974,-87.9918841633686,227.992767333984,2.48,359.35
1758135667.6177983,0.002068758010864258,4,265012,100,41.7040956606974,-87.9918841633686,227.992767333984,3.15,359.35
1758135667.6193018,0.0014853477478027344,5,265012,100,41.7040981342687,-87.9918842003671,227.992950439453,2.58,359.35
1758135667.6615155,0.042204856872558594,6,265012,100,41.7040981342687,-87.9918842003671,227.992950439453,2.84,359.35
1758135667.7620995,0.10028481483459473,7,265012,100,41.7041004981716,-87.9918842361033,227.993041992187,3.07,359.35
1758135667.8622258,0.10012340545654297,8,265012,100,41.7041050126721,-87.9918843042934,227.993179321289,3.99,359.35
1758135667.962277,0.10002899169921875,9,265012,100,41.7041072219423,-87.9918843375278,227.993225097656,4.47,359.35
1758135668.0620613,0.09983468055725098,10,265012,100,41.7041138338504,-87.9918844378392,227.993270874023,5.27,359.35
1758135668.1623664,0.10011148452758789,11,265012,100,41.7041179354484,-87.9918844999242,227.993225097656,4.8,359.35
1758135668.2624574,0.10003519058227539,12,265012,100,41.704121669657,-87.9918845565695,227.993194580078,5.61,359.35
1758135668.362349,0.09996342658996582,13,265012,100,41.70412665244,-87.9918846321043,227.993225097656,5.05,359.35
1758135668.4627626,0.10015034675598145,14,265012,100,41.704132914504,-87.9918847270335,227.993270874023,6.42,359.35
1758135668.562704,0.09993481636047363,15,265012,100,41.7041383162192,-87.9918842712197,227.993225097656,6.99,0.32
1758135668.6626654,0.09989237785339355,16,265012,100,41.7041454885294,-87.9918840644343,227.993225097656,7.97,0.57
1758135668.7628164,0.10001158714294434,17,265012,100,41.7041529733935,-87.991883970538,227.993515014648,7.73,0.54
1758135668.8627734,0.09988141059875488,18,265012,100,41.7041600744177,-87.9918838811976,227.993713378906,9.05,0.54
1758135668.9628541,0.10002517700195312,19,265012,100,41.7041716839051,-87.9918837352693,227.993835449219,11.58,0.54
1758135669.0631292,0.1001443862915039,20,265012,100,41.7041841685432,-87.9918835784847,227.994720458984,12.62,0.54
1758135669.1632025,0.0999908447265625,21,265012,100,41.7041941905781,-87.9918834524557,227.994583129883,10.22,0.54
1758135669.2631242,0.09996247291564941,22,265012,100,41.704204179711,-87.9918833258643,227.993942260742,12.88,0.54
1758135669.3632069,0.09997725486755371,23,265012,100,41.7042176974175,-87.9918831527494,227.992630004883,15.98,0.55
1758135669.4633486,0.0999448299407959,24,265012,100,41.7042294511082,-87.9918830021848,227.992919921875,13.26,0.55
1758135669.5630965,0.0998387336730957,25,265012,100,41.7042426902522,-87.9918828327308,227.993041992187,14.98,0.55
1758135669.6631331,0.09995794296264648,26,265012,100,41.7042560335782,-87.991882662393,227.993103027344,12.89,0.55
1758135669.7632062,0.09996342658996582,27,265012,100,41.7042668726296,-87.9918825238437,227.993255615234,12.11,0.55
1758135669.8632312,0.09996533393859863,28,265012,100,41.7042756855606,-87.9918824108973,227.993438720703,9.81,0.55
1758135669.9629674,0.09988236427307129,29,265012,100,41.7042835197025,-87.991882310781,227.993576049805,9.32,0.55
1758135670.0629027,0.0999288558959961,30,265012,100,41.7042929083887,-87.9918817508803,227.993515014648,11.09,1.21
1758135670.1630523,0.0999746322631836,31,265012,100,41.7043048589198,-87.991881416333,227.993179321289,14.09,1.21
1758135670.2627382,0.09977078437805176,32,265012,100,41.7043151435909,-87.9918811256354,227.993133544922,10.0,1.21
1758135670.3627543,0.09996485710144043,33,265012,100,41.7043261257491,-87.9918808150041,227.993255615234,12.8,1.21
1758135670.462738,0.09994816780090332,34,265012,100,41.7043377401416,-87.9918804865735,227.99348449707,12.29,1.21
1758135670.562658,0.09991955757141113,35,265012,100,41.7043464110428,-87.9918802412863,227.993621826172,9.83,1.21
1758135670.6626596,0.09994053840637207,36,265012,100,41.7043570181311,-87.9918799412243,227.993591308594,11.7,1.21
