Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,toyota.prius,0.0,0.932
0.1,toyota.prius,0.0,0.932
0.2,toyota.prius,0.0,0.932
0.3,toyota.prius,0.0,0.932
0.41,toyota.prius,0.0,0.932
0.51,toyota.prius,0.0,0.932
0.61,toyota.prius,0.0,0.932
0.71,toyota.prius,0.0,0.932
0.81,toyota.prius,0.0,0.932
0.92,toyota.prius,0.0,0.932
1.02,toyota.prius,0.0,0.932
1.12,toyota.prius,0.0,0.93333
1.22,toyota.prius,0.0,1.1111
1.32,toyota.prius,0.0,1.09767
1.42,toyota.prius,0.0,1.02337
1.52,toyota.prius,0.0,0.97066
1.63,toyota.prius,0.0,0.94406
1.73,toyota.prius,0.0,0.93317
1.83,toyota.prius,0.0,0.92942
1.93,toyota.prius,0.0,0.92858
2.03,toyota.prius,0.0,0.92858
2.13,toyota.prius,0.0,0.92858
2.24,toyota.prius,0.0,0.92858
2.34,toyota.prius,0.0,0.92858
2.44,toyota.prius,0.0,0.92858
2.54,toyota.prius,0.0,0.92858
2.64,toyota.prius,0.0,0.92858
2.74,toyota.prius,0.0,0.92858
2.84,toyota.prius,0.0,0.92858
2.95,toyota.prius,0.0,0.92858
3.05,toyota.prius,0.0,0.92858
3.15,toyota.prius,0.0,0.92858
3.25,toyota.prius,0.0,0.92858
3.35,toyota.prius,0.0,0.92858
3.45,toyota.prius,0.0,0.92858
3.55,toyota.prius,0.0,0.92858
3.66,toyota.prius,0.0,0.92858
3.76,toyota.prius,0.0,0.92858
3.86,toyota.prius,0.0,0.92858
3.96,toyota.prius,0.0,0.92858
4.06,toyota.prius,0.0,0.92858
4.16,toyota.prius,0.0,0.92858
4.26,toyota.prius,0.0,0.92858
4.37,toyota.prius,0.0,0.92858
4.47,toyota.prius,0.0,0.92858
4.57,toyota.prius,0.0,0.92858
4.67,toyota.prius,0.0,0.92858
4.77,toyota.prius,0.0,0.92858
4.87,toyota.prius,0.0,0.92858
4.98,toyota.prius,0.0,0.92858
5.08,toyota.prius,0.0,0.92858
5.18,toyota.prius,0.0,0.92858
5.28,toyota.prius,0.0,0.92858
5.38,toyota.prius,0.0,0.92858
5.48,toyota.prius,0.0,0.92858
5.58,toyota.prius,0.0,0.92858
5.69,toyota.prius,0.0,0.92858
5.79,toyota.prius,0.0,0.92858
5.89,toyota.prius,0.0,0.92858
5.99,toyota.prius,0.0,0.92858
6.09,toyota.prius,0.0,0.92858
6.19,toyota.prius,0.0,0.92858
6.29,toyota.prius,0.0,0.92858
6.4,toyota.prius,0.0,0.92858
6.5,toyota.prius,0.0,0.92858
6.6,toyota.prius,0.0,0.92858
6.7,toyota.prius,0.0,0.92858
6.8,toyota.prius,0.0,0.92858
6.9,toyota.prius,0.02,0.92858
7.01,toyota.prius,0.02,0.92849
7.11,toyota.prius,0.02,0.92833
7.21,toyota.prius,0.02,0.9284
7.31,toyota.prius,0.01,0.9284
7.41,toyota.prius,0.01,0.92826
7.51,toyota.prius,0.01,0.92829
7.61,toyota.prius,0.01,0.92829
7.72,toyota.prius,0.01,0.92824
7.82,toyota.prius,0.01,0.92824
7.92,toyota.prius,0.01,0.92824
8.02,toyota.prius,0.01,0.94076
8.12,toyota.prius,0.02,0.98026
8.22,toyota.prius,0.04,0.994
8.32,toyota.prius,0.08,0.98694
8.43,toyota.prius,0.13,0.97719
8.53,toyota.prius,0.2,0.96927
8.63,toyota.prius,0.28,0.9657
8.73,toyota.prius,0.36,0.9646
8.83,toyota.prius,0.45,0.96483
8.93,toyota.prius,0.55,0.96483
9.03,toyota.prius,0.65,0.96549
9.14,toyota.prius,0.75,0.96619
9.24,toyota.prius,0.85,0.96451
9.34,toyota.prius,0.96,0.9613
9.44,toyota.prius,1.06,0.95799
9.54,toyota.prius,1.17,0.95547
9.64,toyota.prius,1.28,0.95369
9.74,toyota.prius,1.39,0.94978
9.85,toyota.prius,1.49,0.94011
9.95,toyota.prius,1.6,0.92476
10.05,toyota.prius,1.7,0.90757
10.15,toyota.prius,1.8,0.90162
10.25,toyota.prius,1.89,0.90754
10.35,toyota.prius,1.97,0.91388
10.45,toyota.prius,2.04,0.91361
10.55,toyota.prius,2.11,0.90667
10.66,toyota.prius,2.17,0.90595
10.76,toyota.prius,2.22,0.91104
10.86,toyota.prius,2.27,0.91564
10.96,toyota.prius,2.33,0.91632
11.06,toyota.prius,2.37,0.91461
11.16,toyota.prius,2.42,0.91259
11.26,toyota.prius,2.46,0.91104
11.37,toyota.prius,2.5,0.91417
11.47,toyota.prius,2.53,0.91672
11.57,toyota.prius,2.56,0.91427
11.67,toyota.prius,2.58,0.9095
11.77,toyota.prius,2.61,0.90774
11.87,toyota.prius,2.63,0.90923
11.97,toyota.prius,2.66,0.90959
12.08,toyota.prius,2.68,0.90807
12.18,toyota.prius,2.7,0.90788
12.28,toyota.prius,2.72,0.90775
12.38,toyota.prius,2.74,0.9067
12.48,toyota.prius,2.75,0.90661
12.58,toyota.prius,2.76,0.90656
12.68,toyota.prius,2.78,0.90614
12.79,toyota.prius,2.79,0.90667
12.89,toyota.prius,2.8,0.90844
12.99,toyota.prius,2.82,0.90775
13.09,toyota.prius,2.83,0.90584
13.19,toyota.prius,2.84,0.90546
13.29,toyota.prius,2.84,0.90671
13.4,toyota.prius,2.85,0.90458
13.5,toyota.prius,2.85,0.90405
13.6,toyota.prius,2.86,0.90405
13.7,toyota.prius,2.86,0.90328
13.8,toyota.prius,2.87,0.90136
13.9,toyota.prius,2.87,0.90139
14.0,toyota.prius,2.88,0.90561
14.11,toyota.prius,2.89,0.91244
14.21,toyota.prius,2.9,0.91945
14.31,toyota.prius,2.9,0.92473
14.41,toyota.prius,2.9,0.92855
14.51,toyota.prius,2.91,0.93138
14.61,toyota.prius,2.91,0.9332
14.71,toyota.prius,2.91,0.93516
14.81,toyota.prius,2.92,0.93713
14.92,toyota.prius,2.92,0.93679
15.02,toyota.prius,2.92,0.93193
15.12,toyota.prius,2.92,0.92588
15.22,toyota.prius,2.92,0.92078
15.32,toyota.prius,2.92,0.91882
15.42,toyota.prius,2.93,0.91926
15.52,toyota.prius,2.93,0.91898
15.63,toyota.prius,2.93,0.91975
15.73,toyota.prius,2.93,0.91936
15.83,toyota.prius,2.93,0.91932
15.93,toyota.prius,2.93,0.9193
16.03,toyota.prius,2.93,0.92029
16.13,toyota.prius,2.93,0.9205
16.23,toyota.prius,2.94,0.92046
16.34,toyota.prius,2.93,0.92013
16.44,toyota.prius,2.94,0.92053
16.54,toyota.prius,2.94,0.92268
16.64,toyota.prius,2.94,0.92559
16.74,toyota.prius,2.93,0.92762
16.84,toyota.prius,2.94,0.93133
16.94,toyota.prius,2.94,0.93427
17.05,toyota.prius,2.94,0.93775
17.15,toyota.prius,2.93,0.93997
17.25,toyota.prius,2.94,0.94288
17.35,toyota.prius,2.94,0.94558
17.45,toyota.prius,2.94,0.94675
17.55,toyota.prius,2.94,0.94749
17.65,toyota.prius,2.94,0.94806
17.76,toyota.prius,2.94,0.94829
17.86,toyota.prius,2.94,0.94804
17.96,toyota.prius,2.94,0.948
18.06,toyota.prius,2.94,0.94785
18.16,toyota.prius,2.94,0.94791
18.26,toyota.prius,2.94,0.94794
18.37,toyota.prius,2.94,0.94836
18.47,toyota.prius,2.95,0.94843
