"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,VUG::Entities::Signals::TrafficLightState,currentState","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^type,String","const^signalID,String"
12,"N/A",23,0,1700253391695612000,1700253392543874000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
13,"N/A",24,0,1700253391789501000,1700253392543910000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
14,"N/A",24,0,1700253391789578000,1700253392543973000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
15,"N/A",24,0,1700253391789618000,1700253392544018000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
16,"N/A",24,0,1700253391789657000,1700253392544058000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
17,"N/A",25,0,1700253391890876000,1700253392544093000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
18,"N/A",25,0,1700253391890952000,1700253392544135000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
19,"N/A",25,0,1700253391895787000,1700253392544169000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
20,"N/A",25,0,1700253391895845000,1700253392544209000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
21,"N/A",26,0,1700253391990793000,1700253392544243000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
