latitude,longitude,elevation,heading
42.3025411836166,-83.6977966280752,247.133972167969,208.032644985441
42.302540387801,-83.6977970747123,247.13542175293,208.029243551234
42.3025395353763,-83.6977975178283,247.13671875,208.028943022911
42.3025386081127,-83.6977979762336,247.138229370117,208.029352834261
42.3025378846688,-83.6977983208485,247.139205932617,208.029844607881
42.302537078436,-83.6977986954862,247.140274047852,208.030377362637
42.3025362830315,-83.6977990536299,247.141418457031,208.030896457014
42.3025355565722,-83.6977994169627,247.14274597168,208.031224306094
42.3025348754823,-83.6977998302411,247.144256591797,208.031483853282
42.3025341932958,-83.6978002872565,247.145812988281,208.031565815552
42.3025334834216,-83.6978007859704,247.147476196289,208.031798041984
42.302532738321,-83.6978013195257,247.149230957031,208.031880004254
42.3025320640844,-83.6978018041548,247.150894165039,208.032112230686
42.3025314160277,-83.6978022711779,247.152450561523,208.032713287333
42.3025308114216,-83.6978027083634,247.153945922852,208.033246042088
42.3025301622685,-83.6978031758498,247.155410766602,208.033833438357
42.3025295080437,-83.6978036451894,247.157028198242,208.034284230842
42.3025288816438,-83.6978040934945,247.158660888672,208.034666721435
42.3025282400293,-83.6978045556991,247.160293579102,208.035131174299
42.3025275999226,-83.6978050184596,247.161865234375,208.035390721487
42.3025271018181,-83.6978053803098,247.163299560547,208.035595627163
42.3025264798043,-83.6978058319508,247.164794921875,208.035732230946
42.3025258432613,-83.6978062901708,247.166595458984,207.980298415642
42.3025253210329,-83.6978066651792,247.167846679688,207.864499388454
42.302524725062,-83.6978070942103,247.16911315918,207.738427756754
42.302524169389,-83.6978074937745,247.170379638672,207.612752276025
42.3025236593596,-83.6978078601652,247.171615600586,207.480588115586
42.3025231035495,-83.6978082592661,247.1728515625,207.355650295288
42.3025225752901,-83.6978086394637,247.174118041992,207.239140928426
42.3025220806123,-83.6978089960321,247.175369262695,207.068358878419
42.3025216325375,-83.697809318593,247.17658996582,206.832184597298
42.3025211453985,-83.6978096430999,247.177825927734,206.594029561318
42.3025206668946,-83.6978099281323,247.178939819336,206.368100563952
42.3025201874313,-83.697810202045,247.18000793457,206.155490435468
42.3025197113947,-83.6978104694713,247.181076049805,205.935435400789
42.3025192095894,-83.6978107482025,247.182098388672,205.670820211964
42.3025187330044,-83.6978110088644,247.183074951172,205.37591996436
42.3025182882193,-83.6978112502523,247.184020996094,205.158064250593
42.3025178246559,-83.6978114797793,247.184799194336,205.090732245755
42.3025173362831,-83.6978116898471,247.185485839844,205.086197000146
42.3025168577793,-83.697811884996,247.18620300293,205.086265302038
42.3025164040847,-83.6978120638362,247.186950683594,205.086497528469
42.3025159746511,-83.6978122286842,247.187713623047,205.086948320955
42.3025155312367,-83.6978123946442,247.188446044922,205.08748107571
42.3025150927566,-83.697812535863,247.189117431641,205.088246056897
42.3025146751108,-83.6978126446498,247.189682006836,205.088901755057
42.3025142559573,-83.6978127791042,247.190292358398,205.089325226786
42.3025138616131,-83.6978129683227,247.191055297852,205.089748698514
42.3025134964644,-83.6978131813556,247.19189453125,205.090062887216
42.302513091703,-83.69781342923,247.192733764648,205.090336094783
42.3025127354636,-83.6978136516219,247.193588256836,205.090595641971
42.3025123588012,-83.6978138879134,247.194412231445,205.090896170295
42.3025119833723,-83.6978141239268,247.195205688477,205.091155717483
42.3025116311079,-83.6978143453921,247.196014404297,205.091442585429
42.3025113065312,-83.6978145491587,247.196792602539,205.091715792995
42.302510997169,-83.6978147437516,247.197570800781,205.091989000562
42.3025106553218,-83.6978149600278,247.198333740234,205.092316849642
42.30251032444,-83.6978151692616,247.199157714844,205.092535415696
42.3025100227536,-83.6978153602406,247.199996948242,205.092753981749
42.3025097323068,-83.6978155438993,247.200820922852,205.093013528938
42.3025094525513,-83.6978157209789,247.201614379883,205.093177453478
42.3025091599114,-83.6978159061202,247.202362060547,205.093505302558
42.3025088575398,-83.6978160982112,247.203079223633,205.093928774286
42.3025085824445,-83.6978162733449,247.203826904297,205.094420547907
42.3025083065269,-83.6978164495905,247.204528808594,205.094871340392
42.3025080341731,-83.6978166235195,247.205230712891,205.095417755525
42.3025077509909,-83.6978168043983,247.205932617187,205.096005151794
42.3025074756215,-83.6978169792539,247.206619262695,205.096483265036
42.3025071799661,-83.6978171662485,247.207260131836,205.097002359413
42.3025068959615,-83.6978173454593,247.207946777344,205.097248246223
42.3025065997578,-83.6978175325465,247.208633422852,205.097562434925
42.3025062883396,-83.6978177278808,247.209289550781,205.053480394022
42.3025059994006,-83.6978179076476,247.2099609375,204.960466877904
42.3025057148477,-83.6978180836152,247.210632324219,204.854557964634
42.3025053773866,-83.6978182918297,247.211288452148,204.746777579531
42.3025050626787,-83.6978184869786,247.212005615234,204.71370580357
42.3025047289184,-83.6978186945444,247.21272277832,204.711096671307
42.3025043959806,-83.6978189025735,247.213531494141,204.711055690172
42.3025040646876,-83.6978191106027,247.214309692383,204.711260595847
42.3025037136567,-83.6978193316973,247.215133666992,204.711479161901
42.3025033500156,-83.6978195425063,247.215911865234,204.711738709089
42.3025029722565,-83.6978197370066,247.216674804688,204.712039237413
42.3025025658503,-83.6978199374373,247.217422485352,204.712326105358
42.302502153276,-83.6978201381461,247.218215942383,204.712544671411
42.3025017348077,-83.6978203723989,247.219131469727,204.712749577086
42.302501315243,-83.697820626667,247.220138549805,204.713200369572
42.3025008638784,-83.6978209045643,247.221160888672,204.71378776584
42.3025004241647,-83.6978211769017,247.222213745117,204.714443464001
42.3024999671804,-83.6978214591542,247.223281860352,204.714989879134
42.3024995651602,-83.6978217069358,247.224304199219,204.715508973511
42.3024990585573,-83.6978220195818,247.225723266602,204.715905124483
42.3024985738853,-83.6978223182357,247.227005004883,204.716151011293
42.3024981740583,-83.6978225643494,247.227920532227,204.716410558481
42.3024977346186,-83.6978228363162,247.228866577148,204.716724747183
42.3024972987427,-83.6978231065224,247.229782104492,204.717025275507
