latitude,longitude,elevation,heading
41.7017318414456,-87.9918138799947,226.781384277344,357.520159575578
41.7017408439091,-87.9918144032068,226.802807617187,357.520241537848
41.7017501041014,-87.9918149413835,226.824932861328,358.36207601343
41.7017588718633,-87.991815450572,226.845913696289,358.776367967727
41.7017676950086,-87.9918159636623,226.866772460937,358.805491894347
41.7017756484506,-87.9918164268321,226.885540771484,358.806967215208
41.7017840564837,-87.9918169146524,226.905209350586,358.807295064288
41.7017918596725,-87.9918173697661,226.923138427734,358.807295064288
41.7017996727309,-87.9918178247651,226.940975952148,359.635769689854
41.701807394212,-87.9918182726489,226.958264160156,359.911545407783
41.7018142405071,-87.9918183222021,226.973416137695,359.923402616182
41.7018209908381,-87.9918183376029,226.98830871582,359.920889106567
41.7018274286024,-87.9918184926202,227.002285766602,359.916080653392
41.7018335466713,-87.991818661225,227.015408325195,359.895344199071
41.7018396795454,-87.9918188328136,227.028530883789,359.889880047735
41.7018447809512,-87.9918189750467,227.039349365234,359.89165589692
41.7018502711448,-87.9918187737583,227.050793457031,359.89165589692
41.7018552974243,-87.99181862783,227.061184692383,359.889880047735
41.7018603648305,-87.9918186208985,227.07165222168,359.889880047735
41.7018647802348,-87.9918186304465,227.080731201172,359.889880047735
41.7018690086477,-87.9918186406142,227.089245605469,359.889880047735
41.7018733927949,-87.9918186556477,227.097164916992,359.89165589692
41.7018774945358,-87.9918186676286,227.105328369141,359.89165589692
41.7018813506107,-87.9918186782324,227.113278198242,359.889880047735
41.7018850224361,-87.9918186881706,227.120770263672,359.889880047735
41.7018884990448,-87.9918186969612,227.127728271484,359.889880047735
41.7018921110984,-87.9918187061878,227.134655761719,359.889880047735
41.7018957028625,-87.9918187165162,227.141613769531,359.889880047735
41.701899353301,-87.9918187267528,227.148693847656,359.889880047735
41.7019027756212,-87.9918187360483,227.15546875,359.89165589692
41.7019063514822,-87.9918187455963,227.162365722656,359.89165589692
41.7019101900079,-87.9918187554197,227.169506835937,359.889880047735
41.7019140614349,-87.9918187658169,227.176831054687,359.89165589692
41.7019178133191,-87.991818776306,227.18395690918,359.89165589692
41.7019219973113,-87.9918187879196,227.1916015625,359.889880047735
41.7019265514466,-87.9918188004514,227.200802612305,359.888104198551
41.7019313720849,-87.9918188127766,227.209729003906,359.889880047735
