latitude,longitude,elevation,heading,Elevation-original
41.7015611069685,-87.9918039573954,229.085034179687,357.519995651038,233.785034179687
41.7015611069685,-87.9918039573954,228.846951293945,357.519995651038,233.546951293945
41.7015611069685,-87.9918039573954,228.593395996094,357.519995651038,233.293395996094
41.7015611069685,-87.9918039573954,228.329891967773,357.519995651038,233.029891967773
41.7015611069685,-87.9918039573954,228.05227355957,357.519995651038,232.75227355957
41.7015611069685,-87.9918039573954,227.755383300781,357.519995651038,232.455383300781
41.7015611069685,-87.9918039573954,227.440563964844,357.519995651038,232.140563964844
41.7015611069685,-87.9918039573954,227.099194335938,357.519531198174,231.799194335938
41.7015611069685,-87.9918039573954,226.552853393555,357.517782669747,231.252853393555
41.701561038423,-87.9918042935264,226.310635375977,357.519831726498,231.010635375977
41.7015609972957,-87.9918044292411,226.340145874023,357.520787952981,231.040145874023
41.7015610367779,-87.9918042831292,226.35583190918,357.521334368115,231.05583190918
41.701561068583,-87.9918041680941,226.36379699707,357.521416330385,231.06379699707
41.7015610877758,-87.9918040991006,226.367611694336,357.521662217195,231.067611694336
41.7015610981947,-87.9918040604266,226.369351196289,357.521798820979,231.069351196289
41.7015611042267,-87.9918040385535,226.370129394531,357.521798820979,231.070129394531
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521798820979,231.070465087891
41.7015611069685,-87.9918040265037,226.370465087891,357.521962745519,231.070465087891
41.7015611086136,-87.9918040205821,226.369793701172,357.521962745519,231.069793701172
41.7015611091619,-87.9918040167721,226.370007324219,357.521962745519,231.070007324219
41.7015611102587,-87.9918040151654,226.370266723633,357.522044707789,231.070266723633
41.701561110807,-87.9918040144539,226.37048034668,357.521962745519,231.07048034668
41.701561110807,-87.991804013926,226.370541381836,357.522044707789,231.070541381836
41.701561110807,-87.9918040136277,226.370587158203,357.522044707789,231.070587158203
41.701561110807,-87.991804013444,226.370617675781,357.522044707789,231.070617675781
41.701561110807,-87.9918040130309,226.37063293457,357.522044707789,231.07063293457
41.701561110807,-87.9918040130309,226.37063293457,357.522044707789,231.07063293457
41.701561110807,-87.9918040129621,226.37063293457,357.522208632329,231.07063293457
41.701561110807,-87.9918040130309,226.370663452148,357.522208632329,231.070663452148
41.701561110807,-87.9918040132834,226.370678710938,357.522208632329,231.070678710938
41.701561110807,-87.9918040132834,226.370678710938,357.522208632329,231.070678710938
41.701561110807,-87.9918040130998,226.370678710938,357.522208632329,231.070678710938
41.701561110807,-87.9918040130998,226.370678710938,357.522044707789,231.070678710938
41.701561110807,-87.9918040130998,226.370678710938,357.521962745519,231.070678710938
41.7015611464507,-87.9918040151195,226.370831298828,357.521962745519,231.070831298828
41.7015620002531,-87.9918040649023,226.373486328125,357.521962745519,231.073486328125
41.7015636634403,-87.9918041611627,226.377743530273,357.521962745519,231.077743530273
41.7015659013127,-87.9918042914607,226.383114624023,357.521880783249,231.083114624023
41.7015685998106,-87.9918044476027,226.389538574219,357.521880783249,231.089538574219
41.7015717101294,-87.9918046278671,226.396923828125,357.521880783249,231.096923828125
41.7015752125281,-87.9918048311064,226.405285644531,357.521798820979,231.105285644531
41.7015790993295,-87.9918050563107,226.41457824707,357.521716858709,231.11457824707
41.701583366695,-87.9918053035718,226.424816894531,357.521716858709,231.124816894531
41.7015880146245,-87.9918055732798,226.436901855469,357.521798820979,231.136901855469
