timestamp_verbose,timeStep,latitude,longitude,elevation,speed,heading,distanceToFinalWaypoints,distanceToIntersection
1712332295.9813943,0.09999990463256836,42.302344264862256,-83.69786100544425,244.54742431640625,0.1,182.65,50,208.93
1712332296.081533,0.10013842582702637,42.302344264862256,-83.69786100544425,244.54742431640625,0.2,182.65,50,208.93
1712332296.1816425,0.10012531280517578,42.302344264862256,-83.69786100544425,244.54742431640625,0.3,182.65,50,208.93
1712332296.281742,0.10010004043579102,42.302344264862256,-83.69786100544425,244.54742431640625,0.4,182.65,50,208.93
1712332296.3818426,0.10010385513305664,42.302344264862256,-83.69786100544425,244.54742431640625,0.5,182.65,50,208.93
1712332296.4819455,0.10009765625,42.302344264862256,-83.69786100544425,244.54742431640625,0.6,182.65,50,208.93
1712332296.5820553,0.10013365745544434,42.302344264862256,-83.69786100544425,244.54742431640625,0.7,182.65,50,208.93
1712332296.6821632,0.10007500648498535,42.302344264862256,-83.69786100544425,244.54742431640625,0.8,182.65,50,208.93
1712332296.782286,0.10011601448059082,42.302344264862256,-83.69786100544425,244.54742431640625,0.9,182.65,50,208.93
1712332296.8824973,0.10025191307067871,42.302344264862256,-83.69786100544425,244.54742431640625,1.0,182.65,50,208.93
1712332296.9826598,0.10015416145324707,42.302344264862256,-83.69786100544425,244.54742431640625,1.1,182.65,50,208.93
1712332297.082814,0.10013580322265625,42.302344264862256,-83.69786100544425,244.54742431640625,1.2,182.65,50,208.93
1712332297.1829906,0.1001882553100586,42.302344264862256,-83.69786100544425,244.54742431640625,1.3,182.65,50,208.93
1712332297.2830985,0.10008788108825684,42.302344264862256,-83.69786100544425,244.54742431640625,1.4,182.65,50,208.93
1712332297.3832123,0.10010886192321777,42.302344264862256,-83.69786100544425,244.54742431640625,1.5,182.65,50,208.93
1712332297.4833136,0.10011029243469238,42.302344264862256,-83.69786100544425,244.54742431640625,1.6,182.65,50,208.93
1712332297.5834239,0.10010790824890137,42.302344264862256,-83.69786100544425,244.54742431640625,1.7,182.65,50,208.93
1712332297.6835315,0.10009598731994629,42.302344264862256,-83.69786100544425,244.54742431640625,1.8,182.65,50,208.93
1712332297.7836454,0.1001129150390625,42.302344264862256,-83.69786100544425,244.54742431640625,1.9,182.65,50,208.93
1712332297.8837738,0.10011100769042969,42.30232616897584,-83.69786205884073,244.53530883789065,2.0,182.3,50,206.92
1712332297.9838727,0.10009551048278809,42.30232616897584,-83.69786205884073,244.53530883789065,2.1,182.3,50,206.92
1712332298.0839639,0.10008883476257324,42.30232616897584,-83.69786205884073,244.53530883789065,2.2,182.3,50,206.92
1712332298.1841075,0.1000969409942627,42.30232616897584,-83.69786205884073,244.53530883789065,2.3,182.3,50,206.92
1712332298.2842402,0.10015511512756348,42.30232616897584,-83.69786205884073,244.53530883789065,2.4,182.3,50,206.92
1712332298.3843849,0.10018730163574219,42.30232616897584,-83.69786205884073,244.53530883789065,2.5,182.3,50,206.92
1712332298.4846838,0.10030078887939453,42.30232616897584,-83.69786205884073,244.53530883789065,2.6,182.3,50,206.92
1712332298.584849,0.10014009475708008,42.30232616897584,-83.69786205884073,244.53530883789065,2.7,182.3,50,206.92
