TimeStamp, Counter, HostVehicleSpeed
1712332275.3398,526.0,0.0
1712332275.3494,527.0,0.0
1712332275.3542,528.0,0.0
1712332275.454,529.0,0.0
1712332275.5537,530.0,0.0
1712332275.654,531.0,0.0
1712332275.7542,532.0,0.0
1712332275.8542,533.0,0.0
1712332275.9541,534.0,0.0
1712332276.0536,535.0,0.0
1712332276.1541,536.0,0.0
1712332276.2538,537.0,0.0
1712332276.3541,538.0,0.0
1712332276.4545,539.0,0.0
1712332276.5541,540.0,0.0
1712332276.6546,541.0,0.0
1712332276.754,542.0,0.0
1712332276.854,543.0,0.0
1712332276.954,544.0,0.0
1712332277.0541,545.0,0.0
1712332277.154,546.0,0.0
1712332277.2543,547.0,0.0
1712332277.3542,548.0,0.0
1712332277.4541,549.0,0.0
1712332277.5536,550.0,0.0
1712332277.6535,551.0,0.0
1712332277.7534,552.0,0.0
1712332277.8535,553.0,0.0
1712332277.9538,554.0,0.0
1712332278.0542,555.0,0.0
1712332278.1535,556.0,0.0
1712332278.2535,557.0,0.0
1712332278.3538,558.0,0.0
1712332278.4538,559.0,0.0
1712332278.5541,560.0,0.0
1712332278.654,561.0,0.0
1712332278.7537,562.0,0.0
1712332278.8535,563.0,0.0
1712332278.954,564.0,0.0
1712332279.0538,565.0,0.0
1712332279.1539,566.0,0.0
1712332279.2539,567.0,0.0
1712332279.354,568.0,0.0
1712332279.4537,569.0,0.0
1712332279.5537,570.0,0.0
1712332279.654,571.0,0.0
1712332279.7538,572.0,0.0
1712332279.8536,573.0,0.0
1712332279.9538,574.0,0.0
1712332280.0537,575.0,0.0
1712332280.1538,576.0,0.0
1712332280.2533,577.0,0.0
1712332280.3539,578.0,0.0
1712332280.4541,579.0,0.0
1712332280.5532,580.0,0.0
1712332280.6533,581.0,0.0
1712332280.7533,582.0,0.0
1712332280.8538,583.0,0.0
1712332280.9536,584.0,0.0
1712332281.0536,585.0,0.0
1712332281.1537,586.0,0.0
1712332281.2538,587.0,0.0
1712332281.3533,588.0,0.0
1712332281.4533,589.0,0.0
