Time [s],Speed [mph],Speed [mps],Acceleration Command [m/s²],Calculated Acceleration [m/s²]
12.0612,0.0,0.0,-0.5,-0.5
12.1611,0.0,0.0,-0.5,-0.5
12.2611,0.0,0.0,-0.5,-0.5
12.3611,0.0,0.0,-0.5,-0.5
12.4611,0.0,0.0,-0.5,-0.5
12.5611,0.0,0.0,-0.5,-0.5
12.6611,0.0,0.0,-0.5,-0.5
12.7612,0.0,0.0,-0.5,-0.5
12.8611,0.0,0.0,-0.5,-0.5
12.9611,0.0,0.0,-0.5,-0.5
13.0612,0.0,0.0,-0.5,-0.5
13.1611,0.0,0.0,-0.5,-0.5
13.2611,0.0,0.0,-0.5,-0.5
13.3611,0.0,0.0,-0.5,-0.5
13.4612,0.0,0.0,-0.5,-0.5
13.5612,0.0,0.0,-0.5,-0.5
13.6621,0.0,0.0,-0.5,-0.5
13.7611,0.0,0.0,-0.5,-0.5
13.8612,0.0,0.0,-0.5,-0.5
13.9613,0.0,0.0,-0.5,-0.5
14.0611,0.0,0.0,-0.5,-0.5
14.1617,0.0,0.0,-0.5,-0.5
14.2613,0.0,0.0,-0.5,-0.5
14.3611,0.0,0.0,-0.5,-0.5
14.4611,0.0,0.0,-0.5,-0.5
14.5611,0.0,0.0,-0.5,-0.5
14.6611,0.0,0.0,-0.5,-0.5
14.7612,0.0,0.0,-0.5,-0.5
14.8613,0.0,0.0,-0.5,-0.5
14.9611,0.0,0.0,-0.5,-0.5
15.0613,0.0,0.0,-0.5,-0.5
15.1611,0.0,0.0,-0.5,-0.5
15.2614,0.0,0.0,-0.5,-0.5
15.3611,0.0,0.0,-0.5,-0.5
15.4611,0.0,0.0,-0.5,-0.5
15.5611,0.0,0.0,-0.5,-0.5
15.6611,0.0,0.0,-0.5,-0.5
15.7612,0.0,0.0,-0.5,-0.5
15.8612,0.0,0.0,-0.5,-0.5
15.9611,0.0,0.0,-0.5,-0.5
16.0611,0.0,0.0,-0.5,-0.5
16.1611,0.0,0.0,-0.5,-0.5
16.2611,0.0,0.0,-0.5,-0.5
16.3611,0.0,0.0,-0.5,-0.5
16.4611,0.0,0.0,-0.5,-0.5
16.5611,0.0,0.0,-0.5,-0.5
16.6611,0.0,0.0,-0.5,-0.5
16.7611,0.0,0.0,-0.5,-0.5
16.8613,0.0,0.0,-0.5,-0.5
16.9612,0.0,0.0,-0.5,-0.5
17.0611,0.0,0.0,-0.5,-0.5
17.1611,0.0,0.0,-0.5,-0.5
17.2611,0.0,0.0,-0.5,-0.5
17.3612,0.0,0.0,-0.5,-0.5
17.4611,0.0,0.0,-0.5,-0.5
17.5613,0.0,0.0,-0.5,-0.5
17.6611,0.0,0.0,-0.5,-0.5
17.7611,0.0,0.0,-0.5,-0.5
17.8611,0.0,0.0,-0.5,-0.5
17.9614,0.0,0.0,-0.5,-0.5
18.0612,0.0,0.0,-0.5,-0.5
18.1623,0.0,0.0,-0.5,-0.5
18.2622,0.0,0.0,-0.5,-0.5
18.3629,0.0,0.0,-0.5,-0.5
18.4614,0.0,0.0,-0.5,-0.5
18.5613,0.0,0.0,-0.5,-0.5
18.6611,0.0,0.0,-0.5,-0.5
18.7611,0.0,0.0,-0.5,-0.5
18.8612,0.0,0.0,-0.5,-0.5
18.9612,0.0,0.0,-0.5,-0.5
19.0611,0.0,0.0,0.25,-0.5
19.1611,0.0,0.0,0.25,-0.5
19.2611,0.0,0.0,0.25,-0.5
19.3612,0.0,0.0,0.25,-0.5
19.4612,0.0,0.0,0.25,-0.5
19.5613,0.0,0.0,0.25,-0.5
19.6612,0.0,0.0,0.25,-0.5
19.7611,0.0,0.0,0.25,-0.5
19.8611,0.0,0.0,0.25,-0.5
19.9612,0.0,0.0,0.25,-0.5
20.0612,0.0,0.0,0.25,-0.5
20.1619,0.0,0.0,0.25,-0.5
20.2612,0.0,0.0,0.25,-0.5
20.3613,0.0,0.0,0.25,-0.5
20.4612,0.0,0.0,0.25,-0.5
20.5611,0.0,0.0,0.25,-0.5
20.6612,0.0,0.0,0.25,-0.5
20.7611,0.0,0.0,0.25,-0.5
20.8613,0.0,0.0,0.25,-0.5
20.9612,0.0,0.0,0.25,-0.5
21.0612,0.0,0.0,0.25,-0.5
21.1612,0.0,0.0,0.25,-0.5
21.2611,0.0,0.0,0.25,-0.5
21.3611,0.0,0.0,0.25,-0.5
21.4612,0.0,0.0,0.25,-0.5
21.5612,0.8077823000000001,0.3611114,0.25,-0.5
21.6612,0.8699194,0.3888892,0.25,0.2777779999999957
21.7623,0.9320565000000001,0.416667,0.25,0.2747556874381833
21.8623,1.0563307,0.47222260000000005,0.25,0.3693632291460571
21.9612,1.1184678000000001,0.5000004,0.25,0.3472393076027174
22.0613,1.1184678000000001,0.5000004,0.25,0.2777914460821739
22.1613,1.242742,0.555556,0.25,0.32408553840181037
22.2611,1.3048791,0.5833338000000001,0.25,0.2783346693386827
22.3611,1.3670162000000001,0.6111116000000001,0.25,0.2777779999999957
22.4612,1.4291532999999998,0.6388894,0.25,0.2775004995004958
22.5613,1.4912904,0.6666672,0.25,0.2775004995005057
22.6612,1.5534275,0.6944450000000001,0.25,0.2780560560560522
22.7611,1.6155646000000001,0.7222228,0.25,0.278056056056061
22.8611,1.6777017,0.7500006000000001,0.25,0.2777779999999968
22.9611,1.7398388,0.7777784,0.25,0.27777800000000447
23.0612,1.8019759,0.8055562000000001,0.25,0.27750049950049693
23.1612,1.8641130000000001,0.833334,0.25,0.2777779999999957
23.2612,1.9262501,0.8611118000000001,0.25,0.2777780000000067
23.3616,1.9883872,0.8888896000000002,0.25,0.27667131474103523
23.4612,2.0505242999999997,0.9166674,0.25,0.2788935742971807
23.5612,2.1126614,0.9444452000000001,0.25,0.2777780000000067
23.6611,2.1747985,0.9722230000000001,0.25,0.2780560560560511
23.7629,2.2369356000000002,1.0000008,0.25,0.2728664047151348
23.8613,2.2990727,1.0277786000000002,0.25,0.2822947154471518
23.9614,2.3612098,1.0555564,0.25,0.2775004995004936
24.0612,2.4233469,1.0833342000000001,0.25,0.27833466933868384
24.1613,2.485484,1.111112,0.25,0.2775004995004958
24.2611,2.5476210999999997,1.1388898,0.25,0.2783346693386816
24.3612,2.6097582,1.1666676000000002,0.25,0.27750049950049804
24.4613,2.6097582,1.1666676000000002,0.25,0.25925249346239415
24.5613,2.6718953,1.1944454,0.25,0.27777800000000336
24.6611,2.7340324000000003,1.2222232000000002,0.25,0.27833466933867396
24.7611,2.7340324000000003,1.2222232000000002,0.25,0.240789571451606
24.8611,2.7961695,1.2500010000000001,0.25,0.2777779999999957
24.9611,2.8583065999999997,1.2777788,0.25,0.2777780000000056
25.0612,2.8583065999999997,1.2777788,0.25,0.22227044551572459
25.1613,2.9204437000000003,1.3055566,0.25,0.22223340841202088
25.2665,2.9825808,1.3333344,0.25,0.26404752851711
25.3614,3.0447179,1.3611122000000002,0.25,0.2927060063224494
