timestamp_verbose,timeStep,latitude,longitude,elevation,speed,heading,distanceToFinalWaypoints,distanceToIntersection
1712345677.1875772,0.09999990463256836,42.302344264862256,-83.69786100544425,244.54742431640625,0.1,182.65,50,208.93
1712345677.2877278,0.10017228126525879,42.302344264862256,-83.69786100544425,244.54742431640625,0.2,182.65,50,208.93
1712345677.3878815,0.10013961791992188,42.302344264862256,-83.69786100544425,244.54742431640625,0.3,182.65,50,208.93
1712345677.4880135,0.10014963150024414,42.302344264862256,-83.69786100544425,244.54742431640625,0.4,182.65,50,208.93
1712345677.5881417,0.10012960433959961,42.302344264862256,-83.69786100544425,244.54742431640625,0.5,182.65,50,208.93
1712345677.6882608,0.10012459754943848,42.302344264862256,-83.69786100544425,244.54742431640625,0.6,182.65,50,208.93
1712345677.7884126,0.10015630722045898,42.302344264862256,-83.69786100544425,244.54742431640625,0.7,182.65,50,208.93
1712345677.8885617,0.1001431941986084,42.302344264862256,-83.69786100544425,244.54742431640625,0.8,182.65,50,208.93
1712345677.9886882,0.1001279354095459,42.302344264862256,-83.69786100544425,244.54742431640625,0.9,182.65,50,208.93
1712345678.0889184,0.10021352767944336,42.302344264862256,-83.69786100544425,244.54742431640625,1.0,182.65,70.61,208.93
1712345678.1893325,0.10042715072631836,42.302344264862256,-83.69786100544425,244.54742431640625,1.1,182.65,70.61,208.93
1712345678.2895994,0.10012030601501465,42.302344264862256,-83.69786100544425,244.54742431640625,1.2,182.65,70.61,208.93
1712345678.3897583,0.10030293464660645,42.302344264862256,-83.69786100544425,244.54742431640625,1.3,182.65,70.61,208.93
1712345678.4899127,0.10012435913085938,42.302344264862256,-83.69786100544425,244.54742431640625,1.4,182.65,70.61,208.93
1712345678.5900292,0.1001431941986084,42.302344264862256,-83.69786100544425,244.54742431640625,1.5,182.65,70.61,208.93
1712345678.69017,0.1001427173614502,42.302344264862256,-83.69786100544425,244.54742431640625,1.6,182.65,70.61,208.93
1712345678.7903376,0.10012221336364746,42.302344264862256,-83.69786100544425,244.54742431640625,1.7,182.65,70.61,208.93
1712345678.8904555,0.10016512870788574,42.302344264862256,-83.69786100544425,244.54742431640625,1.8,182.65,70.61,208.93
1712345678.990582,0.1000981330871582,42.302344264862256,-83.69786100544425,244.54742431640625,1.9,182.65,70.61,208.93
1712345679.090753,0.10014986991882324,42.30232616897584,-83.69786205884073,244.53530883789065,2.0,182.3,68.71,206.92
