TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712341917,1,10.307,0,0,0
1712341917,2,10.307,0,0,0
1712341917,3,10.307,0,0,0
1712341917,4,10.307,0,0,0
1712341917,5,10.307,0,0,0
1712341917,6,10.307,0,0,0
1712341917,7,10.307,0,0,0
1712341917,8,10.307,0,0,0
1712341917,9,10.307,0,0,0
1712341917,10,10.307,0,0,0
1712341917,11,10.307,0,0,0
1712341917,12,10.307,0,0,0
1712341917,13,10.307,0,0,0
1712341917,14,10.307,0,0,0
1712341917,15,10.307,0,0,0
1712341917,16,10.307,0,0,0
1712341917,17,10.307,0,0,0
1712341917,18,10.307,0,0,0
1712341917,19,10.307,0,0,0
1712341917,20,10.307,0,0,0
1712341917,21,10.307,0,0,0
1712341917,22,10.307,0,0,0
1712341917,23,10.307,0,0,0
1712341918,24,10.307,0,0,0
1712341918,25,10.307,0,0,0
1712341918,26,10.307,0,0,0
1712341918,27,10.307,0,0,0
1712341918,28,10.307,0,0,0
1712341918,29,10.307,0,0,0
1712341918,30,10.307,0,0,0
1712341918,31,10.307,0,0,0
1712341918,32,10.307,0,0,0
1712341918,33,10.307,0,0,0
1712341918,34,10.307,0,0,0
1712341918,35,10.307,0,0,0
1712341918,36,10.307,0,0,0
1712341918,37,10.307,0,0,0
1712341918,38,10.307,0,0,0
1712341918,39,10.307,0,0,0
1712341918,40,10.307,0,0,0
1712341918,41,10.307,0,0,0
1712341918,42,10.307,0,0,0
1712341918,43,10.307,0,0,0
1712341918,44,10.307,0,0,0
1712341918,45,10.307,0,0,0
1712341918,46,10.307,0,0,0
1712341918,47,10.307,0,0,0
1712341918,48,10.307,0,0,0
1712341918,49,10.307,0,0,0
1712341918,50,10.307,0,0,0
1712341918,51,10.307,0,0,0
1712341918,52,10.307,0,0,0
1712341918,53,10.307,0,0,0
1712341918,54,10.307,0,0,0
1712341918,55,10.307,0,0,0
1712341918,56,10.307,0,0,0
1712341918,57,10.307,0,0,0
1712341918,58,10.307,0,0,0
1712341918,59,10.307,0,0,0
1712341918,60,10.307,0,0,0
1712341918,61,10.307,0,0,0
1712341918,62,10.307,0,0,0
1712341918,63,10.307,0,0,0
1712341918,64,10.307,0,0,0
1712341918,65,10.307,0,0,0
1712341918,66,10.307,0,0,0
1712341918,67,10.307,0,0,0
1712341918,68,10.307,0,0,0
1712341918,69,10.307,0,0,0
1712341918,70,10.307,0,0,0
1712341918,71,10.307,0,0,0
1712341918,72,10.307,0,0,0
1712341918,73,10.307,0,0,0
1712341918,74,10.307,0,0,0
1712341918,75,10.307,0,0,0
1712341918,76,10.307,0,0,0
1712341918,77,10.307,0,0,0
1712341918,78,10.307,0,0,0
1712341918,79,10.307,0,0,0
1712341918,80,10.307,0,0,0
1712341918,81,10.307,0,0,0
1712341918,82,10.307,0,0,0
1712341918,83,10.307,0,0,0
1712341918,84,10.307,0,0,0
1712341918,85,10.307,0,0,0
1712341918,86,10.307,0,0,0
1712341918,87,10.307,0,0,0
1712341918,88,10.307,0,0,0
1712341918,89,10.307,0,0,0
1712341918,90,10.307,0,0,0
1712341918,91,10.307,0,0,0
1712341918,92,10.307,0,0,0
1712341918,93,10.307,0,0,0
1712341918,94,10.307,0,0,0
1712341918,95,10.307,0,0,0
1712341918,96,10.307,0,0,0
1712341918,97,10.307,0,0,0
1712341918,98,10.307,0,0,0
1712341918,99,10.307,0,0,0
1712341918,100,10.307,0,0,0
1712341918,101,10.307,0,0,0
1712341918,102,10.307,0,0,0
