Time(s),VehicleType,VehicleSpeed(m/s),RoadGrade(rad)
0.0,toyota.prius,0.0,1.57136
0.1,toyota.prius,0.0,1.57136
0.2,toyota.prius,0.0,1.57136
0.3,toyota.prius,0.0,1.57136
0.41,toyota.prius,0.0,1.57136
0.51,toyota.prius,0.0,1.57136
0.61,toyota.prius,0.0,1.57136
0.71,toyota.prius,0.0,1.57136
0.81,toyota.prius,0.0,1.57136
0.91,toyota.prius,0.0,1.57136
1.01,toyota.prius,0.0,1.57136
1.12,toyota.prius,0.0,1.57136
1.22,toyota.prius,0.0,1.57136
1.32,toyota.prius,0.0,1.57136
1.42,toyota.prius,0.0,1.57136
1.52,toyota.prius,0.0,1.57136
1.62,toyota.prius,0.0,1.57136
1.72,toyota.prius,0.0,1.57136
1.82,toyota.prius,0.0,1.57136
1.92,toyota.prius,0.0,1.57136
2.03,toyota.prius,0.0,1.57136
2.13,toyota.prius,0.0,1.57136
2.23,toyota.prius,0.0,1.57136
2.33,toyota.prius,0.0,1.57136
2.43,toyota.prius,0.0,1.57136
2.53,toyota.prius,0.0,1.57136
2.63,toyota.prius,0.0,1.57136
2.73,toyota.prius,0.0,1.57136
2.84,toyota.prius,0.0,1.57136
2.94,toyota.prius,0.0,1.57136
3.04,toyota.prius,0.0,1.57136
3.14,toyota.prius,0.0,1.57136
3.24,toyota.prius,0.0,1.57136
3.34,toyota.prius,0.0,1.57136
3.44,toyota.prius,0.0,1.57136
3.55,toyota.prius,0.0,1.57136
3.65,toyota.prius,0.0,1.57136
3.75,toyota.prius,0.0,1.57136
3.85,toyota.prius,0.0,1.57136
3.95,toyota.prius,0.0,1.57136
4.06,toyota.prius,0.0,1.57136
4.16,toyota.prius,0.0,1.57136
4.26,toyota.prius,0.0,1.57136
4.36,toyota.prius,0.0,1.57136
4.46,toyota.prius,0.0,1.57136
4.56,toyota.prius,0.0,1.57136
4.66,toyota.prius,0.0,1.57136
4.76,toyota.prius,0.0,1.57136
4.87,toyota.prius,0.0,1.57136
4.97,toyota.prius,0.0,1.57136
5.07,toyota.prius,0.0,1.57136
5.17,toyota.prius,0.0,1.57136
5.27,toyota.prius,0.0,1.57136
5.37,toyota.prius,0.0,1.57136
5.47,toyota.prius,0.0,1.57136
5.57,toyota.prius,0.0,1.57136
5.68,toyota.prius,0.0,1.57136
