index,current_time,vehicle_type,x,y,z,speed,vehicle_pitch,waypoint_pitch,calculated_speed,smoothed_speed
0,1712347903.09147,vehicle.lincoln.mkz2017,141.019638061523,-228.863433837891,243.917922973633,0,1.34161984920502,1.21903026103973,0,0
1,1712347903.19263,vehicle.lincoln.mkz2017,141.020050048828,-228.863555908203,243.917907714844,0,1.34165394306183,1.21903133392334,0.0153024022754737,0.00794929988336296
2,1712347903.29406,vehicle.lincoln.mkz2017,141.020050048828,-228.863555908203,243.917907714844,0,1.34165394306183,1.21903133392334,0.00764055776104943,0.0078382665285188
3,1712347903.39523,vehicle.lincoln.mkz2017,141.020355224609,-228.863662719727,243.917892456055,0,1.34176325798035,1.21903204917908,0.00892929733350041,0.00814369960327318
4,1712347903.49637,vehicle.lincoln.mkz2017,141.020355224609,-228.863662719727,243.917892456055,0,1.34176325798035,1.21903204917908,0.00669871992717358,0.00780798356150603
5,1712347903.59781,vehicle.lincoln.mkz2017,141.020355224609,-228.863662719727,243.917892456055,0,1.34176325798035,1.21903204917908,0.00535671815464863,0.00731589591298658
6,1712347903.69889,vehicle.lincoln.mkz2017,141.020446777344,-228.863647460937,243.917892456055,0,1.34179055690765,1.21903228759766,0.00289728033045627,0.00652794891894454
7,1712347903.80022,vehicle.lincoln.mkz2017,141.020248413086,-228.863632202148,243.917922973633,0,1.34197497367859,1.21903169155121,0.00151549137303806,0.00571781229475169
8,1712347903.90148,vehicle.lincoln.mkz2017,141.020050048828,-228.863662719727,243.917922973633,0,1.3420637845993,1.21903133392334,0.00218097224640628,0.00519174242187536
9,1712347904.00258,vehicle.lincoln.mkz2017,141.020050048828,-228.863662719727,243.917922973633,0,1.3420637845993,1.21903133392334,0.00218116125544763,0.00477470100494734
10,1712347904.10365,vehicle.lincoln.mkz2017,141.019638061523,-228.863647460937,243.917922973633,0,1.34207057952881,1.21903038024902,0.00510973238814314,0.00481833917642477
11,1712347904.2051,vehicle.lincoln.mkz2017,141.019149780273,-228.863525390625,243.917922973633,0,1.34211158752441,1.21902918815613,0.00926705216731914,0.0053674495791939
12,1712347904.30665,vehicle.lincoln.mkz2017,141.019149780273,-228.863525390625,243.917922973633,0,1.34211158752441,1.21902918815613,0.00784656193989339,0.00565931424331068
13,1712347904.40792,vehicle.lincoln.mkz2017,141.019149780273,-228.863525390625,243.917922973633,0,1.34211158752441,1.21902918815613,0.00647345713764869,0.0057512351465421
14,1712347904.5091,vehicle.lincoln.mkz2017,141.01904296875,-228.863555908203,243.917938232422,0,1.3420774936676,1.21902894973755,0.00719861261969636,0.00590868338279154
15,1712347904.61026,vehicle.lincoln.mkz2017,141.01904296875,-228.863555908203,243.917938232422,0,1.3420774936676,1.21902894973755,0.00427993031397913,0.00573729460481503
16,1712347904.71142,vehicle.lincoln.mkz2017,141.019149780273,-228.863647460937,243.917938232422,0,1.34210479259491,1.21902930736542,0.000874694540014845,0.00524063051019939
17,1712347904.81287,vehicle.lincoln.mkz2017,141.019149780273,-228.863647460937,243.917938232422,0,1.34210479259491,1.21902930736542,0.000874849847409086,0.00480649366414184
18,1712347904.91396,vehicle.lincoln.mkz2017,141.019256591797,-228.863662719727,243.917922973633,0,1.34217309951782,1.21902942657471,0.00123768793698514,0.00446007541496865
19,1712347905.01535,vehicle.lincoln.mkz2017,141.01936340332,-228.863647460937,243.917907714844,0,1.34211158752441,1.21902966499329,0.00237973680108574,0.00426250044442639
20,1712347905.11647,vehicle.lincoln.mkz2017,141.01936340332,-228.863647460937,243.917907714844,0,1.34211158752441,1.21902966499329,0.00237993967136966,0.00408720992190174
21,1712347905.21788,vehicle.lincoln.mkz2017,141.019348144531,-228.863662719727,243.917907714844,0,1.34216630458832,1.21902966499329,0.00143072906860969,0.00384425806707289
22,1712347905.31897,vehicle.lincoln.mkz2017,141.019348144531,-228.863662719727,243.917907714844,0,1.34216630458832,1.21902966499329,0.00143173535792205,0.00362718985158554
23,1712347905.42026,vehicle.lincoln.mkz2017,141.019149780273,-228.863647460937,243.917938232422,0,1.34210479259491,1.21902930736542,0.000774825391906911,0.00337433328657969
