TimeStampNs,PandaNum,MessageID,Bus,MessageLength,Message
676449100.0,0,0x245,0,5,0x000000004C
700030525.0,0,0x245,0,5,0x000000004C
723518350.0,0,0x245,0,5,0x000000004C
747098075.0,0,0x245,0,5,0x000000004C
770642350.0,0,0x245,0,5,0x000000004C
794241425.0,0,0x245,0,5,0x000000004C
817726100.0,0,0x245,0,5,0x000000004C
841475750.0,0,0x245,0,5,0x000000004C
865817975.0,0,0x245,0,5,0x000000004C
888431125.0,0,0x245,0,5,0x000000004C
911935725.0,0,0x245,0,5,0x000000004C
935518000.0,0,0x245,0,5,0x000000004C
959062100.0,0,0x245,0,5,0x000000004C
982640450.0,0,0x245,0,5,0x000000004C
1006570800.0,0,0x245,0,5,0x000000004C
1029732375.0,0,0x245,0,5,0x000000004C
1053272800.0,0,0x245,0,5,0x000000004C
1076870850.0,0,0x245,0,5,0x000000004C
1100357075.0,0,0x245,0,5,0x000000004C
1123936925.0,0,0x245,0,5,0x000000004C
1147480600.0,0,0x245,0,5,0x000000004C
1171655125.0,0,0x245,0,5,0x000000004C
1194565600.0,0,0x245,0,5,0x000000004C
1218145600.0,0,0x245,0,5,0x000000004C
1241691800.0,0,0x245,0,5,0x000000004C
1265269125.0,0,0x245,0,5,0x000000004C
1288775250.0,0,0x245,0,5,0x000000004C
1312355750.0,0,0x245,0,5,0x000000004C
1336202450.0,0,0x245,0,5,0x000000004C
1359480725.0,0,0x245,0,5,0x000000004C
1383232325.0,0,0x245,0,5,0x000000004C
1406749000.0,0,0x245,0,5,0x000000004C
1430108925.0,0,0x245,0,5,0x000000004C
1453709525.0,0,0x245,0,5,0x000000004C
1477363725.0,0,0x245,0,5,0x000000004C
1501723950.0,0,0x245,0,5,0x000000004C
1524319550.0,0,0x245,0,5,0x000000004C
1547919125.0,0,0x245,0,5,0x000000004C
1571404825.0,0,0x245,0,5,0x000000004C
1594986675.0,0,0x245,0,5,0x000000004C
1618529800.0,0,0x245,0,5,0x000000004C
1642115750.0,0,0x245,0,5,0x000000004C
1665614425.0,0,0x245,0,5,0x000000004C
1689195875.0,0,0x245,0,5,0x000000004C
1712739675.0,0,0x245,0,5,0x000000004C
1736319100.0,0,0x245,0,5,0x000000004C
1760070400.0,0,0x245,0,5,0x000000004C
1783410625.0,0,0x245,0,5,0x000000004C
1807356975.0,0,0x245,0,5,0x000000004C
1830547950.0,0,0x245,0,5,0x000000004C
1854033725.0,0,0x245,0,5,0x000000004C
1877615500.0,0,0x245,0,5,0x000000004C
1901159200.0,0,0x245,0,5,0x000000004C
1924764275.0,0,0x245,0,5,0x000000004C
1948242875.0,0,0x245,0,5,0x000000004C
1972195900.0,0,0x245,0,5,0x000000004C
1995367200.0,0,0x245,0,5,0x000000004C
2018946900.0,0,0x245,0,5,0x000000004C
2042453850.0,0,0x245,0,5,0x000000004C
2066130875.0,0,0x245,0,5,0x000000004C
2089577775.0,0,0x245,0,5,0x000000004C
2113423375.0,0,0x245,0,5,0x000000004C
2138067275.0,0,0x245,0,5,0x000000004C
2160249825.0,0,0x245,0,5,0x000000004C
2183787650.0,0,0x245,0,5,0x000000004C
2207387275.0,0,0x245,0,5,0x000000004C
2230873275.0,0,0x245,0,5,0x000000004C
2254454575.0,0,0x245,0,5,0x000000004C
