TimeStampNs,PandaNum,MessageID,Bus,MessageLength,Message
384194475.0,0,0x245,0,1,0xF5CC780000002000FF0700000000005000D0020000900A80
384194750.0,0,0x245,0,1,0xF5CC780000002000FF0700000000005000D0020000900A80
434196975.0,0,0x245,0,1,0xF6FB790000002000FF0700000000005000D0020000900A80
434197175.0,0,0x245,0,1,0xF6FB790000002000FF0700000000005000D0020000900A80
484197075.0,0,0x245,0,1,0xF3A27A0000002000FF0700000000005000D0020000900A80
484197350.0,0,0x245,0,1,0xF3A27A0000002000FF0700000000005000D0020000900A80
523866550.00000006,0,0x245,0,1,0x0ED4262000000000000000000000000000000000000000000000000000000000
534195975.00000006,0,0x245,0,1,0xF0957B0000002000FF0700000000005000D0020000900A80
534196175.00000006,0,0x245,0,1,0xF0957B0000002000FF0700000000005000D0020000900A80
584203100.0,0,0x245,0,1,0xF9107C0000002000FF0700000000005000D0020000900A80
584203300.0,0,0x245,0,1,0xF9107C0000002000FF0700000000005000D0020000900A80
634199675.0,0,0x245,0,1,0xFA277D0000002000FF0700000000005000D0020000900A80
634199900.0,0,0x245,0,1,0xFA277D0000002000FF0700000000005000D0020000900A80
684202500.0,0,0x245,0,1,0xFF7E7E0000002000FF0700000000005000D0020000900A80
684202725.0,0,0x245,0,1,0xFF7E7E0000002000FF0700000000005000D0020000900A80
734201650.0,0,0x245,0,1,0xFC497F0000002000FF0700000000005000D0020000900A80
734201875.0,0,0x245,0,1,0xFC497F0000002000FF0700000000005000D0020000900A80
784202750.0,0,0x245,0,1,0x8E97800000002000FF0700000000005000D0020000900A80
784203025.0,0,0x245,0,1,0x8E97800000002000FF0700000000005000D0020000900A80
834199550.0,0,0x245,0,1,0x8DA0810000002000FF0700000000005000D0020000900A80
834199750.0,0,0x245,0,1,0x8DA0810000002000FF0700000000005000D0020000900A80
884201025.0,0,0x245,0,1,0x88F9820000002000FF0700000000005000D0020000900A80
884201300.0,0,0x245,0,1,0x88F9820000002000FF0700000000005000D0020000900A80
934201750.0,0,0x245,0,1,0x8BCE830000002000FF0700000000005000D0020000900A80
934201950.0,0,0x245,0,1,0x8BCE830000002000FF0700000000005000D0020000900A80
984195800.0,0,0x245,0,1,0x824B840000002000FF0700000000005000D0020000900A80
984196000.0,0,0x245,0,1,0x824B840000002000FF0700000000005000D0020000900A80
1024024025.0,0,0x245,0,1,0x488D272000000000000000000000000000000000000000000000000000000000
1034200000.0,0,0x245,0,1,0x817C850000002000FF0700000000005000D0020000900A80
1034200275.0,0,0x245,0,1,0x817C850000002000FF0700000000005000D0020000900A80
1084197950.0,0,0x245,0,1,0x8425860000002000FF0700000000005000D0020000900A80
1084198225.0,0,0x245,0,1,0x8425860000002000FF0700000000005000D0020000900A80
1134195500.0,0,0x245,0,1,0x8712870000002000FF0700000000005000D0020000900A80
1134195775.0,0,0x245,0,1,0x8712870000002000FF0700000000005000D0020000900A80
1184196075.0,0,0x245,0,1,0xB73F880000002000FF0700000000005000D0020000900A80
1184196275.0,0,0x245,0,1,0xB73F880000002000FF0700000000005000D0020000900A80
1234194475.0,0,0x245,0,1,0xB408890000002000FF0700000000005000D0020000900A80
1234194750.0,0,0x245,0,1,0xB408890000002000FF0700000000005000D0020000900A80
1284198275.0,0,0x245,0,1,0xB1518A0000002000FF0700000000005000D0020000900A80
1284198550.0,0,0x245,0,1,0xB1518A0000002000FF0700000000005000D0020000900A80
1334198400.0,0,0x245,0,1,0xB2668B0000002000FF0700000000005000D0020000900A80
1334198675.0,0,0x245,0,1,0xB2668B0000002000FF0700000000005000D0020000900A80
1384198575.0,0,0x245,0,1,0xBBE38C0000002000FF0700000000005000D0020000900A80
1384198775.0,0,0x245,0,1,0xBBE38C0000002000FF0700000000005000D0020000900A80
1434199575.0,0,0x245,0,1,0xB8D48D0000002000FF0700000000005000D0020000900A80
1434199850.0,0,0x245,0,1,0xB8D48D0000002000FF0700000000005000D0020000900A80
1484196250.0,0,0x245,0,1,0xBD8D8E0000002000FF0700000000005000D0020000900A80
1484196475.0,0,0x245,0,1,0xBD8D8E0000002000FF0700000000005000D0020000900A80
1523857900.0,0,0x245,0,1,0xC9F9282000000000000000000000000000000000000000000000000000000000
1534200000.0,0,0x245,0,1,0xBEBA8F0000002000FF0700000000005000D0020000900A80
1534200200.0,0,0x245,0,1,0xBEBA8F0000002000FF0700000000005000D0020000900A80
1584205950.0,0,0x245,0,1,0xDDD7900000002000FF0700000000005000D0020000900A80
1584206225.0,0,0x245,0,1,0xDDD7900000002000FF0700000000005000D0020000900A80
1634201300.0,0,0x245,0,1,0xDEE0910000002000FF0700000000005000D0020000900A80
1634201525.0,0,0x245,0,1,0xDEE0910000002000FF0700000000005000D0020000900A80
1684200225.0,0,0x245,0,1,0xDBB9920000002000FF0700000000005000D0020000900A80
1684200450.0,0,0x245,0,1,0xDBB9920000002000FF0700000000005000D0020000900A80
1734200875.0,0,0x245,0,1,0xD88E930000002000FF0700000000005000D0020000900A80
1734201075.0,0,0x245,0,1,0xD88E930000002000FF0700000000005000D0020000900A80
1784201650.0,0,0x245,0,1,0xD10B940000002000FF0700000000005000D0020000900A80
1784201875.0,0,0x245,0,1,0xD10B940000002000FF0700000000005000D0020000900A80
1834209975.0,0,0x245,0,1,0xD23C950000002000FF0700000000005000D0020000900A80
1834210200.0,0,0x245,0,1,0xD23C950000002000FF0700000000005000D0020000900A80
1884201600.0,0,0x245,0,1,0xD765960000002000FF0700000000005000D0020000900A80
1884201800.0,0,0x245,0,1,0xD765960000002000FF0700000000005000D0020000900A80
1934204500.0,0,0x245,0,1,0xD452970000002000FF0700000000005000D0020000900A80
1934204700.0,0,0x245,0,1,0xD452970000002000FF0700000000005000D0020000900A80
1984202175.0,0,0x245,0,1,0xE47F980000002000FF0700000000005000D0020000900A80
1984202450.0,0,0x245,0,1,0xE47F980000002000FF0700000000005000D0020000900A80
2023942275.0,0,0x245,0,1,0x8FA0292000000000000000000000000000000000000000000000000000000000
2034217000.0,0,0x245,0,1,0xE748990000002000FF0700000000005000D0020000900A80
2034217275.0,0,0x245,0,1,0xE748990000002000FF0700000000005000D0020000900A80
2084206075.0,0,0x245,0,1,0xE2119A0000002000FF0700000000005000D0020000900A80
2084206350.0,0,0x245,0,1,0xE2119A0000002000FF0700000000005000D0020000900A80
2134207875.0,0,0x245,0,1,0xE1269B0000002000FF0700000000005000D0020000900A80
2134208075.0,0,0x245,0,1,0xE1269B0000002000FF0700000000005000D0020000900A80
2184198725.0,0,0x245,0,1,0xE8A39C0000002000FF0700000000005000D0020000900A80
2184199000.0,0,0x245,0,1,0xE8A39C0000002000FF0700000000005000D0020000900A80
2234218175.0,0,0x245,0,1,0xEB949D0000002000FF0700000000005000D0020000900A80
2234218400.0,0,0x245,0,1,0xEB949D0000002000FF0700000000005000D0020000900A80
2284208050.0,0,0x245,0,1,0xEECD9E0000002000FF0700000000005000D0020000900A80
2284208325.0,0,0x245,0,1,0xEECD9E0000002000FF0700000000005000D0020000900A80
2334213425.0,0,0x245,0,1,0xEDFA9F0000002000FF0700000000005000D0020000900A80
2334213700.0,0,0x245,0,1,0xEDFA9F0000002000FF0700000000005000D0020000900A80
2384205700.0,0,0x245,0,1,0x2817A00000002000FF0700000000005000D0020000900A80
2384205925.0,0,0x245,0,1,0x2817A00000002000FF0700000000005000D0020000900A80
2434219550.0,0,0x245,0,1,0x2B20A10000002000FF0700000000005000D0020000900A80
2434219825.0,0,0x245,0,1,0x2B20A10000002000FF0700000000005000D0020000900A80
2484206550.0,0,0x245,0,1,0x2E79A20000002000FF0700000000005000D0020000900A80
2484206775.0,0,0x245,0,1,0x2E79A20000002000FF0700000000005000D0020000900A80
2523882100.0,0,0x245,0,1,0x454B2A2000000000000000000000000000000000000000000000000000000000
2534223650.0,0,0x245,0,1,0x2D4EA30000002000FF0700000000005000D0020000900A80
2534223925.0,0,0x245,0,1,0x2D4EA30000002000FF0700000000005000D0020000900A80
2584204325.0,0,0x245,0,1,0x24CBA40000002000FF0700000000005000D0020000900A80
2584204550.0,0,0x245,0,1,0x24CBA40000002000FF0700000000005000D0020000900A80
2634224025.0,0,0x245,0,1,0x27FCA50000002000FF0700000000005000D0020000900A80
2634224225.0,0,0x245,0,1,0x27FCA50000002000FF0700000000005000D0020000900A80
2684212125.0,0,0x245,0,1,0x22A5A60000002000FF0700000000005000D0020000900A80
2684212350.0,0,0x245,0,1,0x22A5A60000002000FF0700000000005000D0020000900A80
2734230675.0,0,0x245,0,1,0x2192A70000002000FF0700000000005000D0020000900A80
2734230950.0,0,0x245,0,1,0x2192A70000002000FF0700000000005000D0020000900A80
2784200150.0,0,0x245,0,1,0x11BFA80000002000FF0700000000005000D0020000900A80
2784200350.0,0,0x245,0,1,0x11BFA80000002000FF0700000000005000D0020000900A80
2834212625.0,0,0x245,0,1,0x1288A90000002000FF0700000000005000D0020000900A80
2834212900.0,0,0x245,0,1,0x1288A90000002000FF0700000000005000D0020000900A80
2884208900.0,0,0x245,0,1,0x17D1AA0000002000FF0700000000005000D0020000900A80
2884209125.0,0,0x245,0,1,0x17D1AA0000002000FF0700000000005000D0020000900A80
2934217500.0,0,0x245,0,1,0x14E6AB0000002000FF0700000000005000D0020000900A80
2934217725.0,0,0x245,0,1,0x14E6AB0000002000FF0700000000005000D0020000900A80
2984208550.0,0,0x245,0,1,0x1D63AC0000002000FF0700000000005000D0020000900A80
2984208750.0,0,0x245,0,1,0x1D63AC0000002000FF0700000000005000D0020000900A80
