"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,VUG::Entities::Signals::TrafficLightState,currentState","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^type,String","const^signalID,String"
12,"N/A",422,0,1712338075867188000,1712338075945664000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
13,"N/A",423,0,1712338075966782000,1712338076033107000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
14,"N/A",423,0,1712338075966912000,1712338076033181000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Yellow","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
15,"N/A",423,0,1712338075967003000,1712338076037634000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
16,"N/A",424,0,1712338076066311000,1712338076134399000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
17,"N/A",424,0,1712338076066434000,1712338076145995000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
18,"N/A",424,0,1712338076066508000,1712338076146330000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
19,"N/A",425,0,1712338076166785000,1712338076233800000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
20,"N/A",425,0,1712338076166918000,1712338076237816000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
21,"N/A",425,0,1712338076167001000,1712338076237907000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
22,"N/A",426,0,1712338076266765000,1712338076329861000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
23,"N/A",426,0,1712338076266932000,1712338076330002000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
24,"N/A",426,0,1712338076267020000,1712338076341149000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
25,"N/A",427,0,1712338076366730000,1712338076434169000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
26,"N/A",427,0,1712338076366886000,1712338076434328000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
27,"N/A",427,0,1712338076366959000,1712338076445666000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
