index,current_time,vehicle_type,x,y,z,speed,vehicle_pitch,waypoint_pitch
0,1712340404.5988798,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
1,1712340404.701611,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
2,1712340404.8040955,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
3,1712340404.9061015,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
4,1712340405.008172,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
5,1712340405.1102002,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
6,1712340405.212201,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
7,1712340405.3145285,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
8,1712340405.4167275,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
9,1712340405.5190735,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
10,1712340405.6209557,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
11,1712340405.723368,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
12,1712340405.8258588,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
13,1712340405.9288619,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
14,1712340406.0315711,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
15,1712340406.1334534,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
16,1712340406.2358046,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
17,1712340406.3387237,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
18,1712340406.440954,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
19,1712340406.5433714,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
20,1712340406.6455808,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
21,1712340406.7479327,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
22,1712340406.8502424,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
23,1712340406.952373,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
24,1712340407.0547314,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
25,1712340407.1568186,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
26,1712340407.259618,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
27,1712340407.3615875,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
28,1712340407.4644213,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
29,1712340407.5670598,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
30,1712340407.6695302,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
31,1712340407.7720637,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
32,1712340407.8745117,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
33,1712340407.9765906,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
34,1712340408.0787966,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
35,1712340408.1814702,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
36,1712340408.2836704,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
37,1712340408.385972,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
38,1712340408.4882627,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
39,1712340408.5905123,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
40,1712340408.692917,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
41,1712340408.7951822,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
42,1712340408.8973703,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
43,1712340408.9996192,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
44,1712340409.1017704,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
45,1712340409.2037723,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
46,1712340409.3055995,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
47,1712340409.407767,vehicle.toyota.prius,122.30390167236328,-216.25491333007812,244.09515380859375,0.0,-0.002226641634479165,1.3395843505859375
