timestamp_verbose,timeStep,msgCount,temporaryId,secMark,latitude,longitude,elevation,speed,heading
1701458207.3075686,0.0,1,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.6700165,0.0,2,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.676163,0.0,3,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.6979227,0.0,4,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.7004075,0.0,5,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.7683086,0.0,6,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.868359,0.0,7,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458207.968286,0.0,8,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.0683017,0.0,9,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.168242,0.0,10,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.2690492,0.0,11,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.3763754,0.0,12,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.4710736,0.0,13,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.5700316,0.0,14,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.67303,0.0,15,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.7767897,0.0,16,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.8736458,0.0,17,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458208.973033,0.0,18,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.0730383,0.0,19,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.17303,0.0,20,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.2731416,0.0,21,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.3735275,0.0,22,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.473232,0.0,23,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.5731826,0.0,24,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.6765287,0.0,25,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.773167,0.0,26,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.8731008,0.0,27,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458209.9730575,0.0,28,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.0730455,0.0,29,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.1730244,0.0,30,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.273094,0.0,31,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.3769474,0.0,32,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.4732258,0.0,33,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.5732274,0.0,34,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.6734407,0.0,35,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.780174,0.0,36,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.880888,0.0,37,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458210.982474,0.0,38,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458211.082274,0.0,39,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458211.184114,0.0,40,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458211.2830877,0.0,41,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458211.3830175,0.0,42,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458211.4830375,0.0,43,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
1701458211.582929,0.0,44,f03ad610,100,42.2994845,-83.6992433,232.4,0.0,358.5
