Time [s],Speed [mph],Speed [mps],Acceleration Requested [mps2],Acceleration Achieved [mps2],Calculated Acceleration [mps2]
0.0,-0.009481644481968669,-0.004238679051504324,-1.0,-1.0,0.0
0.1,-0.012818106121448692,-0.00573021251748758,-1.0,-1.0,0.0
0.2,0.0,0.0,-1.0,-1.0,0.0
0.30000000000000004,0.0,0.0,-1.0,-1.0,0.0
0.4,-0.029205864594793126,-0.013056204192684315,-1.0,-1.0,0.0
0.5,-0.020498306600131036,-0.009163573148362572,-1.0,-1.0,0.0
0.6,0.0,0.0,-1.0,-1.0,0.0
0.7,0.0,0.0,-1.0,-1.0,0.0
0.7999999999999999,0.0,0.0,-1.0,-1.0,0.0
0.8999999999999999,0.02780867348940845,0.01243160318801634,-1.0,-1.0,0.0
0.9999999999999999,-0.007016265638284465,-0.0031365548705546,-1.0,-1.0,0.0
1.0999999999999999,-0.021789691124049396,-0.009740874326378594,-1.0,-1.0,0.0
1.2,0.028103312933062334,0.012563318951029563,-1.0,-1.0,0.0
1.3,-0.009227785440976872,-0.004125193779921614,-1.0,-1.0,0.0
1.4000000000000001,-0.020279662389844362,-0.009065830332162569,-1.0,-1.0,0.0
1.5000000000000002,0.029364823842121725,0.013127265413443641,-1.0,-1.0,0.0
1.6000000000000003,-0.009014603331567485,-0.004029892744006645,-1.0,-1.0,0.0
1.7000000000000004,-0.020292018138867794,-0.00907135385233366,-1.0,-1.0,0.0
1.8000000000000005,0.0,0.0,-1.0,-1.0,0.0
1.9000000000000006,0.0,0.0,-1.0,-1.0,0.0
2.0000000000000004,0.0,0.0,-1.0,-1.0,0.0
2.1000000000000005,0.0,0.0,-1.0,-1.0,0.0
2.2000000000000006,0.027899763592759964,0.012472324152993425,-1.0,-1.0,0.0
2.3000000000000007,-0.006909422407435023,-0.0030887916196483036,-1.0,-1.0,0.0
2.400000000000001,-0.020167317869519297,-0.009015607782080805,-1.0,-1.0,0.0
2.500000000000001,0.02929011483462246,0.013093867461680314,-1.0,-1.0,0.0
2.600000000000001,-0.008913974419888152,-0.003984907545424056,-1.0,-1.0,0.0
2.700000000000001,-0.020193056632580364,-0.009027114051484392,-1.0,-1.0,0.0
2.800000000000001,0.029417729388219852,0.013150916335009092,-1.0,-1.0,0.0
2.9000000000000012,-0.009184466956881798,-0.0041058286633085745,-1.0,-1.0,0.0
3.0000000000000013,-0.020221720855552013,-0.009039928119937247,-1.0,-1.0,0.0
3.1000000000000014,0.0,0.0,-1.0,-1.0,0.0
3.2000000000000015,0.0,0.0,-1.0,-1.0,0.0
3.3000000000000016,-0.029311707575273405,-0.013103520291169521,-1.0,-1.0,0.0
3.4000000000000017,-0.020326217524404926,-0.009086642362604872,-1.0,-1.0,0.0
3.5000000000000018,0.0,0.0,-1.0,-1.0,0.0
