timestamp_posix,msgCount,temporaryId,latitude,longitude,elevation,speed,heading,length,width
1696358354.0751946,37,ca62cd16,42.2994845,-83.6992433,233.0,125.0,358.5,314,159
1696358354.0806124,38,ca62cd16,42.2994957,-83.6992436,233.1,125.0,358.5,314,159
1696358354.0830476,39,ca62cd16,42.2995071,-83.6992439,233.1,125.0,358.6,314,159
1696358354.0917387,40,ca62cd16,42.2995183,-83.6992442,233.2,125.0,358.70000000000005,314,159
1696358354.095768,41,ca62cd16,42.2995296,-83.6992445,233.2,125.0,358.70000000000005,314,159
1696358354.1001072,42,ca62cd16,42.2995408,-83.6992448,233.3,125.0,358.8,314,159
1696358354.1272907,43,ca62cd16,42.2995522,-83.6992451,233.3,125.0,358.90000000000003,314,159
1696358354.1377578,44,ca62cd16,42.2995634,-83.6992455,233.4,125.0,358.90000000000003,314,159
1696358354.1456351,45,ca62cd16,42.2995745,-83.6992456,233.4,125.0,359.0,314,159
1696358354.1519804,46,ca62cd16,42.2995848,-83.6992459,233.5,125.0,359.1,314,159
1696358354.1772099,47,ca62cd16,42.299596,-83.699246,233.5,125.0,359.1,314,159
1696358354.1803768,48,ca62cd16,42.2996073,-83.6992463,233.6,125.0,359.20000000000005,314,159
1696358354.187277,49,ca62cd16,42.2996185,-83.6992464,233.6,125.0,359.3,314,159
1696358354.192736,50,ca62cd16,42.2996299,-83.6992466,233.6,125.0,359.3,314,159
1696358354.2075346,51,ca62cd16,42.2996411,-83.6992467,233.7,125.0,359.40000000000003,314,159
1696358354.2102242,52,ca62cd16,42.2996524,-83.6992469,233.7,125.0,359.5,314,159
1696358354.2175,53,ca62cd16,42.2996636,-83.6992469,233.8,125.0,359.5,314,159
1696358354.2270942,54,ca62cd16,42.2996748,-83.699247,233.8,125.0,359.6,314,159
1696358354.229879,55,ca62cd16,42.2996861,-83.699247,233.9,125.0,359.70000000000005,314,159
1696358354.2342722,56,ca62cd16,42.2996973,-83.6992471,233.9,125.0,359.70000000000005,314,159
1696358354.2455268,57,ca62cd16,42.2997087,-83.6992471,234.0,125.0,359.8,314,159
1696358354.2484047,58,ca62cd16,42.2997199,-83.699247,234.0,125.0,359.90000000000003,314,159
1696358354.2549503,59,ca62cd16,42.2997312,-83.6992472,234.1,125.0,359.90000000000003,314,159
1696358354.2602727,60,ca62cd16,42.2997413,-83.6992472,234.1,125.0,0.0,314,159
1696358354.2659318,61,ca62cd16,42.2997527,-83.699247,234.2,125.0,0.1,314,159
1696358354.2686377,62,ca62cd16,42.2997638,-83.699247,234.2,125.0,0.1,314,159
1696358354.2790647,63,ca62cd16,42.299775,-83.6992469,234.3,125.0,0.2,314,159
1696358354.2821772,64,ca62cd16,42.2997864,-83.6992469,234.3,125.0,0.30000000000000004,314,159
1696358354.2849555,65,ca62cd16,42.2997976,-83.6992467,234.3,125.0,0.30000000000000004,314,159
1696358354.2936478,66,ca62cd16,42.2998089,-83.6992465,234.4,125.0,0.4,314,159
1696358354.2980976,67,ca62cd16,42.2998201,-83.6992465,234.4,125.0,0.5,314,159
1696358354.3010085,68,ca62cd16,42.2998315,-83.6992463,234.5,125.0,0.5,314,159
1696358354.3097396,69,ca62cd16,42.2998426,-83.6992461,234.5,125.0,0.6000000000000001,314,159
1696358354.3257785,70,ca62cd16,42.299854,-83.6992459,234.6,125.0,0.7000000000000001,314,159
1696358354.3527699,71,ca62cd16,42.2998652,-83.6992457,234.6,125.0,0.7000000000000001,314,159
1696358354.363691,72,ca62cd16,42.2998765,-83.6992454,234.7,125.0,0.8,314,159
1696358354.3732202,73,ca62cd16,42.2998877,-83.6992452,234.7,125.0,0.9,314,159
1696358354.3795469,74,ca62cd16,42.2998978,-83.699245,234.8,125.0,0.9,314,159
1696358354.392855,75,ca62cd16,42.2999092,-83.6992446,234.8,125.0,1.0,314,159
1696358354.4074328,76,ca62cd16,42.2999204,-83.6992443,234.9,125.0,1.1,314,159
1696358354.4134073,77,ca62cd16,42.2999317,-83.6992441,234.9,125.0,1.1,314,159
1696358354.42156,78,ca62cd16,42.2999429,-83.6992437,235.0,125.0,1.2000000000000002,314,159
1696358354.4245934,79,ca62cd16,42.299954,-83.6992419,235.0,125.0,4.0,314,159
1696358354.4269826,80,ca62cd16,42.2999654,-83.6992407,235.0,125.0,4.0,314,159
1696358354.4397259,81,ca62cd16,42.2999766,-83.6992397,235.1,125.0,4.1000000000000005,314,159
1696358354.4673429,82,ca62cd16,42.2999878,-83.6992385,235.1,125.0,4.2,314,159
1696358354.4703956,83,ca62cd16,42.2999991,-83.6992373,235.1,125.0,4.2,314,159
1696358354.484761,84,ca62cd16,42.3000103,-83.6992363,235.2,125.0,4.3,314,159
1696358354.488506,85,ca62cd16,42.3000215,-83.6992351,235.2,125.0,4.3,314,159
1696358354.5081604,86,ca62cd16,42.3000327,-83.6992339,235.3,125.0,4.4,314,159
1696358354.510438,87,ca62cd16,42.3000429,-83.6992328,235.3,125.0,4.4,314,159
1696358354.517119,88,ca62cd16,42.3000541,-83.6992316,235.3,125.0,4.5,314,159
1696358354.524659,89,ca62cd16,42.3000653,-83.6992303,235.4,125.0,4.5,314,159
1696358354.5274415,90,ca62cd16,42.3000765,-83.6992291,235.4,125.0,4.6000000000000005,314,159
1696358354.5381763,91,ca62cd16,42.3000878,-83.6992279,235.4,125.0,4.7,314,159
1696358354.5416555,92,ca62cd16,42.300099,-83.6992266,235.5,125.0,4.7,314,159
1696358354.5441892,93,ca62cd16,42.3001102,-83.6992254,235.5,125.0,4.800000000000001,314,159
1696358354.5465715,94,ca62cd16,42.3001214,-83.699224,235.6,125.0,4.800000000000001,314,159
1696358354.554493,95,ca62cd16,42.3001326,-83.6992227,235.6,125.0,4.9,314,159
1696358354.558964,96,ca62cd16,42.3001439,-83.6992213,235.6,125.0,4.9,314,159
1696358354.5613718,97,ca62cd16,42.3001551,-83.69922,235.7,125.0,5.0,314,159
1696358354.566813,98,ca62cd16,42.3001663,-83.6992186,235.7,125.0,5.0,314,159
1696358354.5717008,99,ca62cd16,42.3001763,-83.6992174,235.7,125.0,5.1000000000000005,314,159
1696358354.5765302,100,ca62cd16,42.3001875,-83.699216,235.8,125.0,5.2,314,159
1696358354.5790443,101,ca62cd16,42.3001987,-83.6992147,235.8,125.0,5.2,314,159
1696358354.583619,102,ca62cd16,42.3002101,-83.6992131,235.9,125.0,5.300000000000001,314,159
1696358354.5862236,103,ca62cd16,42.3002213,-83.6992118,235.9,125.0,5.300000000000001,314,159
1696358354.5911996,104,ca62cd16,42.3002324,-83.6992103,235.9,125.0,5.4,314,159
1696358354.593562,105,ca62cd16,42.3002436,-83.6992089,236.0,125.0,5.4,314,159
1696358354.5991526,106,ca62cd16,42.3002548,-83.6992074,236.0,125.0,5.5,314,159
1696358354.605615,107,ca62cd16,42.300266,-83.6992059,236.0,125.0,5.5,314,159
1696358354.6080918,108,ca62cd16,42.3002774,-83.6992044,236.1,125.0,5.6000000000000005,314,159
1696358354.6144497,109,ca62cd16,42.3002885,-83.6992028,236.1,125.0,5.7,314,159
1696358354.6201184,110,ca62cd16,42.3002997,-83.6992013,236.2,125.0,5.7,314,159
1696358354.622488,111,ca62cd16,42.3003109,-83.6991998,236.2,125.0,5.800000000000001,314,159
1696358354.6263177,112,ca62cd16,42.3003221,-83.6991983,236.2,125.0,5.800000000000001,314,159
1696358354.6285012,113,ca62cd16,42.3003333,-83.6991966,236.3,125.0,5.9,314,159
1696358354.6370788,114,ca62cd16,42.3003434,-83.6991952,236.3,125.0,5.9,314,159
1696358354.6405826,115,ca62cd16,42.3003545,-83.6991937,236.3,125.0,6.0,314,159
1696358354.6430116,116,ca62cd16,42.3003657,-83.699192,236.4,125.0,6.0,314,159
1696358354.6503162,117,ca62cd16,42.3003769,-83.6991903,236.4,125.0,6.1000000000000005,314,159
1696358354.655093,118,ca62cd16,42.3003881,-83.6991886,236.5,125.0,6.2,314,159
1696358354.6575484,119,ca62cd16,42.3003993,-83.6991871,236.5,125.0,6.2,314,159
1696358354.6643972,120,ca62cd16,42.3004106,-83.6991854,236.5,125.0,6.300000000000001,314,159
1696358354.6705472,121,ca62cd16,42.3004218,-83.6991838,236.6,125.0,6.300000000000001,314,159
1696358354.6729016,122,ca62cd16,42.3004218,-83.6991838,236.6,125.0,6.300000000000001,314,159
1696358354.6781173,123,ca62cd16,42.300433,-83.6991819,236.6,125.0,6.4,314,159
1696358354.680469,124,ca62cd16,42.3004442,-83.6991802,236.6,125.0,6.4,314,159
1696358354.708648,125,ca62cd16,42.3004543,-83.6991787,236.7,125.0,6.5,314,159
1696358354.7250516,126,ca62cd16,42.3004655,-83.699177,236.7,125.0,6.5,314,159
1696358354.7279496,127,ca62cd16,42.3004766,-83.6991753,236.7,125.0,6.5,314,159
1696358354.74568,0,ca62cd16,42.3004878,-83.6991734,236.8,125.0,6.6000000000000005,314,159
1696358354.7481642,1,ca62cd16,42.300499,-83.6991715,236.8,125.0,6.7,314,159
1696358354.7557468,2,ca62cd16,42.3005102,-83.6991699,236.8,125.0,6.7,314,159
1696358354.7579978,3,ca62cd16,42.3005214,-83.699168,236.9,125.0,6.800000000000001,314,159
