Latitude,Longitude,Elevation,Heading,X,Y,Z,Yaw,Pitch,Roll
41.70082498636364,-87.99178131242928,233.65399169921875,0.0,24.0,1070.0,230.85400390625,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,233.48251342773438,0.0,24.0,1070.0,230.68251037597656,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,233.297119140625,0.0,24.0,1070.0,230.49713134765625,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,233.0967559814453,0.0,24.0,1070.0,230.2967529296875,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,232.88284301757812,0.0,24.0,1070.0,230.0828399658203,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,232.6539764404297,344.99998569483756,24.0,1070.0,229.85397338867188,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,232.4102020263672,344.99998569483756,24.0,1070.0,229.61021423339844,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,232.1483917236328,344.99998569483756,24.0,1070.0,229.348388671875,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,231.7743377685547,344.99998569483756,24.0,1070.0,228.97433471679688,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,230.9841766357422,344.99998569483756,24.0,1070.0,228.18417358398438,-105.00003814697266,0.0,0.0
41.70082498636364,-87.99178131242928,230.09683227539062,344.99998569483756,24.0,1070.0,227.2968292236328,-105.00003814697266,0.0,0.0
41.700824681469925,-87.99178119505314,229.61883544921875,345.0091108275687,23.993656158447266,1069.9957275390625,226.8044891357422,-104.99089050292969,0.8398263454437256,0.11224722862243652
41.70082458276329,-87.99178143437287,229.6475372314453,345.01080471448284,23.9931640625,1069.9954833984375,226.83128356933594,-104.98921966552734,0.9562810659408569,-0.3305054008960724
41.70082461895572,-87.99178134435542,229.66664123535156,345.01367339393425,23.9931640625,1069.9954833984375,226.83128356933594,-104.98921966552734,0.9562810659408569,-0.3305054008960724
41.70082465295468,-87.99178125959395,229.67747497558594,345.0152853185784,23.99350357055664,1069.996826171875,226.86289978027344,-104.98472595214844,0.8525919914245605,-0.003662160597741604
41.70082467379271,-87.99178120682748,229.68304443359375,345.0160502997654,23.99367904663086,1069.9971923828125,226.8689727783203,-104.98397827148438,0.8225322961807251,0.09334365278482437
